"eV","Pi_Al_GibbSorb_std.xmu.nor","Pi_Apatite_CaDefHydroxy_std.xmu.nor","Pi_Fe_GoethSorb_std.xmu.nor","Pi_K_Pyro_std.xmu.nor","Pi_Mg_Tri_std.xmu.nor","Pi_Na_Tri_std.xmu.nor","Pi_NH4_Mg_std.xmu.nor","Po_Ca_Lecithin_std.xmu.nor"
2151.2,0.9090503,-9999,-9999,-9999,-9999,-9999,-9999,2.1848214
2151.4,1.2223802,-9999,-9999,-9999,-9999,-9999,-9999,3.0891466
2151.6,1.6599585,-9999,-9999,-9999,-9999,-9999,-9999,4.2073932
2151.8,2.3201354,-9999,-9999,-9999,-9999,-9999,-9999,5.3928577
2152,3.3255652,-9999,-9999,-9999,-9999,-9999,-9999,6.1715558
2152.2,4.6887355,-9999,-9999,-9999,-9999,-9999,-9999,6.4966913
2152.4,6.1465168,-9999,-9999,-9999,-9999,-9999,-9999,6.440554
2152.6,7.4097684,-9999,-9999,-9999,-9999,-9999,-9999,6.1252162
2152.8,8.2352828,-9999,-9999,-9999,-9999,-9999,-9999,5.8284406
2153,8.4463982,-9999,-9999,-9999,-9999,-9999,-9999,5.4121659
2153.2,8.2063074,-9999,-9999,-9999,-9999,-9999,-9999,4.9552292
2153.4,7.5964247,-9999,-9999,-9999,-9999,-9999,-9999,4.5095651
2153.6,6.6561215,-9999,-9999,-9999,-9999,-9999,-9999,4.0298084
2153.8,5.599086,-9999,-9999,-9999,-9999,-9999,-9999,3.6673711
2154,4.6073602,-9999,-9999,-9999,-9999,-9999,-9999,3.2984817
2154.2,3.718425,-9999,-9999,-9999,-9999,-9999,-9999,2.9915119
2154.4,3.0383794,-9999,-9999,-9999,-9999,-9999,-9999,2.7158615
2154.6,2.4881171,-9999,-9999,-9999,-9999,-9999,-9999,2.4560083
2154.8,2.1374013,-9999,-9999,-9999,-9999,-9999,-9999,2.2779313
2155,1.8960562,-9999,-9999,-9999,-9999,-9999,-9999,2.1168666
2155.2,1.6881931,-9999,-9999,-9999,-9999,-9999,-9999,1.9678352
2155.4,1.5634531,-9999,-9999,-9999,-9999,-9999,-9999,1.8308756
2155.6,1.4784479,-9999,-9999,-9999,-9999,-9999,-9999,1.7366068
2155.8,1.4395758,-9999,-9999,-9999,-9999,-9999,-9999,1.6488791
2156,1.4012672,-9999,-9999,-9999,-9999,-9999,-9999,1.586163
2156.2,1.3884481,-9999,-9999,-9999,-9999,-9999,-9999,1.5036449
2156.4,1.3480783,-9999,-9999,-9999,-9999,-9999,-9999,1.4735109
2156.6,1.3550975,-9999,-9999,-9999,-9999,-9999,-9999,1.4246475
2156.8,1.3633346,-9999,-9999,-9999,-9999,-9999,-9999,1.3815658
2157,1.3547308,-9999,-9999,-9999,-9999,-9999,-9999,1.3617738
2157.2,1.3671613,-9999,-9999,-9999,-9999,-9999,-9999,1.3428987
2157.4,1.3606441,-9999,-9999,-9999,-9999,-9999,-9999,1.3230401
2157.6,1.385046,-9999,-9999,-9999,-9999,-9999,-9999,1.300842
2157.8,1.3682771,-9999,-9999,-9999,-9999,-9999,-9999,1.3024141
2158,1.3942294,-9999,-9999,-9999,-9999,-9999,-9999,1.2868084
2158.2,1.3813031,-9999,-9999,-9999,-9999,-9999,-9999,1.2808587
2158.4,1.4185561,-9999,-9999,-9999,-9999,-9999,-9999,1.2745846
2158.6,1.4184136,-9999,-9999,-9999,-9999,-9999,-9999,1.2589179
2158.8,1.3975167,-9999,-9999,-9999,-9999,-9999,-9999,1.2618739
2159,1.3992755,-9999,-9999,-9999,-9999,-9999,-9999,1.2495083
2159.2,1.4162303,-9999,-9999,-9999,-9999,-9999,-9999,1.2680348
2159.4,1.4191761,-9999,-9999,-9999,-9999,-9999,-9999,1.2657347
2159.6,1.4116701,-9999,-9999,-9999,-9999,-9999,-9999,1.2718116
2159.8,1.4213123,-9999,-9999,-9999,-9999,-9999,-9999,1.2806666
2160,1.4086677,-9999,-9999,-9999,-9999,-9999,-9999,1.2862318
2160.5,1.4196221,-9999,-9999,-9999,-9999,-9999,-9999,1.3065725
2161,1.4128522,-9999,-9999,-9999,-9999,-9999,-9999,1.3385674
2161.5,1.4033121,-9999,-9999,-9999,-9999,-9999,-9999,1.3772141
2162,1.4155517,-9999,-9999,-9999,-9999,-9999,-9999,1.4264038
2162.5,1.4379758,-9999,-9999,-9999,-9999,-9999,-9999,1.4833611
2163,1.455094,-9999,-9999,-9999,-9999,-9999,-9999,1.5326275
2163.5,1.4760148,-9999,-9999,-9999,-9999,-9999,-9999,1.5929312
2164,1.5028614,-9999,-9999,-9999,-9999,-9999,-9999,1.6443975
2164.5,1.5526617,-9999,-9999,-9999,-9999,-9999,-9999,1.6921129
2165,1.5978106,-9999,-9999,-9999,-9999,-9999,-9999,1.7359123
2165.5,1.6463004,-9999,-9999,-9999,-9999,-9999,-9999,1.7820671
2166,1.7145122,-9999,-9999,-9999,-9999,-9999,-9999,1.8105905
2166.5,1.7585124,-9999,-9999,-9999,-9999,-9999,-9999,1.8412874
2167,1.8024216,-9999,-9999,-9999,-9999,-9999,-9999,1.8595285
2167.5,1.8399507,-9999,-9999,-9999,-9999,-9999,-9999,1.8703557
2168,1.8647196,-9999,-9999,-9999,-9999,-9999,-9999,1.8707638
2168.5,1.9204075,-9999,-9999,-9999,-9999,-9999,-9999,1.8682399
2169,1.920074,-9999,-9999,-9999,-9999,-9999,-9999,1.8721023
2169.5,1.9241757,-9999,-9999,-9999,-9999,-9999,-9999,1.8380995
2170,1.9266597,-9999,-9999,-9999,-9999,-9999,-9999,1.8309102
2170.5,1.9181103,-9999,-9999,-9999,-9999,-9999,-9999,1.8239818
2171,1.9133962,-9999,-9999,-9999,-9999,-9999,-9999,1.8165565
2171.5,1.8732552,-9999,-9999,-9999,-9999,-9999,-9999,1.7736237
2172,1.8338595,-9999,-9999,-9999,-9999,-9999,-9999,1.7484312
2172.5,1.8100596,-9999,-9999,-9999,-9999,-9999,-9999,1.7201054
2173,1.7577582,-9999,-9999,-9999,-9999,-9999,-9999,1.6785199
2173.5,1.7042209,-9999,-9999,-9999,-9999,-9999,-9999,1.6364189
2174,1.6513124,-9999,-9999,-9999,-9999,-9999,-9999,1.6098753
2174.5,1.6129946,-9999,-9999,-9999,-9999,-9999,-9999,1.5719078
2175,1.5783758,-9999,-9999,-9999,-9999,-9999,-9999,1.5412546
2175.5,1.5245803,-9999,-9999,-9999,-9999,-9999,-9999,1.5078978
2176,1.4568558,-9999,-9999,-9999,-9999,-9999,-9999,1.4817278
2176.5,1.4094131,-9999,-9999,-9999,-9999,-9999,-9999,1.4666817
2177,1.3715006,-9999,-9999,-9999,-9999,-9999,-9999,1.4373429
2177.5,1.3344534,-9999,-9999,-9999,-9999,-9999,-9999,1.4022544
2178,1.3120568,-9999,-9999,-9999,-9999,-9999,-9999,1.3770847
2178.5,1.2864482,-9999,-9999,-9999,-9999,-9999,-9999,1.3560808
2179,1.2542288,-9999,-9999,-9999,-9999,-9999,-9999,1.3257998
2179.5,1.2411878,-9999,-9999,-9999,-9999,-9999,-9999,1.3193862
2180,1.2340816,-9999,-9999,-9999,-9999,-9999,-9999,1.3058013
2180.5,1.2143697,-9999,-9999,-9999,-9999,-9999,-9999,1.303046
2181,1.2022485,-9999,-9999,-9999,-9999,-9999,-9999,1.3023569
2181.5,1.1987632,-9999,-9999,-9999,-9999,-9999,-9999,1.2768724
2182,1.1873145,-9999,-9999,-9999,-9999,-9999,-9999,1.2801654
2182.5,1.1811172,-9999,-9999,-9999,-9999,-9999,-9999,1.272977
2183,1.1769357,-9999,-9999,-9999,-9999,-9999,-9999,1.2645068
2183.5,1.1885717,-9999,-9999,-9999,-9999,-9999,-9999,1.2572308
2184,1.1790316,-9999,-9999,-9999,-9999,-9999,-9999,1.2543707
2184.5,1.191064,-9999,-9999,-9999,-9999,-9999,-9999,1.2547295
2185,1.187824,-9999,-9999,-9999,-9999,-9999,-9999,1.2590977
2185.5,1.1964409,-9999,-9999,-9999,-9999,-9999,-9999,1.2622218
2186,1.1966509,-9999,-9999,-9999,-9999,-9999,-9999,1.2655408
2186.5,1.1973099,-9999,-9999,-9999,-9999,-9999,-9999,1.264321
2187,1.210182,-9999,-9999,-9999,-9999,-9999,-9999,1.266203
2187.5,1.2111409,-9999,-9999,-9999,-9999,-9999,-9999,1.2707334
2188,1.2253017,-9999,-9999,-9999,-9999,-9999,-9999,1.2735805
2188.5,1.2169577,-9999,-9999,-9999,-9999,-9999,-9999,1.2760311
2189,1.2005885,-9999,-9999,-9999,-9999,-9999,-9999,1.275534
2189.5,1.2242123,-9999,-9999,-9999,-9999,-9999,-9999,1.2681719
2190,1.2189165,-9999,-9999,-9999,-9999,-9999,-9999,1.2860212
2190.5,1.2277861,-9999,-9999,-9999,-9999,-9999,-9999,1.3004458
2191,1.2237936,-9999,-9999,-9999,-9999,-9999,-9999,1.2946925
2191.5,1.2314834,-9999,-9999,-9999,-9999,-9999,-9999,1.2955544
2192,1.2257678,-9999,-9999,-9999,-9999,-9999,-9999,1.2966165
2192.5,1.2479174,-9999,-9999,-9999,-9999,-9999,-9999,1.3051079
2193,1.2463297,-9999,-9999,-9999,-9999,-9999,-9999,1.3134023
2193.5,1.2566461,-9999,-9999,-9999,-9999,-9999,-9999,1.3245393
2194,1.2615985,-9999,-9999,-9999,-9999,-9999,-9999,1.328025
2194.5,1.2568444,-9999,-9999,-9999,-9999,-9999,-9999,1.3357421
2195,1.27353,-9999,-9999,-9999,-9999,-9999,-9999,1.3386624
2195.5,1.2671128,-9999,-9999,-9999,-9999,-9999,-9999,1.3572357
2196,1.2707219,-9999,-9999,-9999,-9999,-9999,-9999,1.3606972
2196.5,1.2841629,-9999,-9999,-9999,-9999,-9999,-9999,1.3483385
2197,1.2777274,-9999,-9999,-9999,-9999,-9999,-9999,1.3488958
2197.5,1.2855336,-9999,-9999,-9999,-9999,-9999,-9999,1.3624329
2198,1.2965044,-9999,-9999,-9999,-9999,-9999,-9999,1.3901071
2198.5,1.3059301,-9999,-9999,-9999,-9999,-9999,-9999,1.388007
2199,1.3098919,-9999,-9999,-9999,-9999,-9999,-9999,1.3849111
2199.5,1.3226531,-9999,-9999,-9999,-9999,-9999,-9999,1.3952744
2200,1.3296395,-9999,-9999,-9999,-9999,-9999,-9999,1.4019619
2201,1.3439158,-9999,-9999,-9999,-9999,-9999,-9999,1.4032888
2202,1.3479168,-9999,-9999,-9999,-9999,-9999,-9999,1.4127283
2203,1.3609698,-9999,-9999,-9999,-9999,-9999,-9999,1.4218811
