"","eV","BSLE_0013-solid_P-XANES.xmu.nor","BSLE_0007-solid_P-XANES.xmu.nor","BSLE_0002-solid_P-XANES.xmu.nor","BSLE_0050-solid_P-XANES.xmu.nor","BSLE_0014-solid_P-XANES.xmu.nor","BSLE_0011-solid_P-XANES.xmu.nor","BSLE_0072-solid_P-XANES.xmu.nor"
"1",2125.46,-0.029271033,0.016263238,0.048365709,0.011020563,0.046443132,0.075636984,0.056873816
"2",2127.46,0.002800897,0.010716509,0.043972666,0.0070264839,0.013291851,0.070010982,0.047546802
"3",2129.46,0.0065593804,0.0094238678,0.036052315,0.0039930993,0.010059168,0.052982242,0.041172746
"4",2131.46,-0.015167269,0.0042859074,0.036350035,0.00092359842,0.0025523986,0.043609465,0.031948956
"5",2133.46,0.0032277416,0.0036009929,0.031550705,-0.00014866973,-0.0029990991,0.029402138,0.023795015
"6",2135.46,-0.0011956843,-0.0024449402,0.01692047,0.0019861917,0.00021373433,0.021755446,0.018153852
"7",2137.46,0.0037749338,-0.00024315254,0.00069586834,-0.0048339894,-0.0090517961,0.011121153,0.009185175
"8",2139.46,0.0010787998,-0.0013657751,-0.0089111867,-0.0017131523,-0.0090224193,0.0047057601,0.0039996747
"9",2140.46,0.032625039,0.00080587547,-0.0018185196,-0.0030682241,0.0044777451,0.0016321469,0.0026349272
"10",2140.66,0.019822962,0.003662431,-0.0051867809,-0.0015796511,0.0014947184,0.0060430897,0.0033586837
"11",2140.76,0.025573575,-0.00024498786,0.0071336642,-0.0035639529,-0.0065847816,-0.0073371959,0.0010595824
"12",2140.86,0.0095057624,-0.004481592,0.0014482261,0.0013878854,-0.0075113296,0.0012608342,0.0016787846
"13",2140.96,0.0048825219,0.0029516052,0.015067557,-0.0030234334,-0.0048515763,0.0014890503,0.0011529324
"14",2141.06,0.0098149433,-0.0016937676,-0.0015814631,-0.0016128007,0.010178461,-0.0023505538,0.00053712738
"15",2141.16,0.020919151,-0.0012675155,-0.0051185069,-0.0037704609,-0.0069699605,0.0024818154,0.0012588167
"16",2141.26,0.011932225,-0.0014091987,-0.00059137734,-0.00019284878,0.00066148751,0.0010141622,-0.00025799052
"17",2141.36,0.0012483111,-0.00031734113,-0.00098277795,0.00064714597,-0.0021122514,0.0050571401,0.00061927283
"18",2141.46,0.018120259,0.0012194593,0.0019746079,0.0020631961,0.0046054266,-0.0023743832,0.0017147822
