"","Compound_Name","variable","Mean","Standard_Deviation","Count"
"1","AMP","ppm_1",4.41555555555556,0.0515051238012082,9
"2","AMP","ppm_2",NA,NA,9
"3","AMP","ppm_3",NA,NA,9
"4","AMP","ppm_4",NA,NA,9
"5","RNA","ppm_1",4.49823529411765,0.0584417759524006,17
"6","RNA","ppm_2",4.325625,0.0322425702035884,17
"7","RNA","ppm_3",NA,NA,17
"8","RNA","ppm_4",NA,NA,17
"9","alphaGP","ppm_1",4.91909090909091,0.0510792610468369,11
"10","alphaGP","ppm_2",NA,NA,11
"11","alphaGP","ppm_3",NA,NA,11
"12","alphaGP","ppm_4",NA,NA,11
"13","betaGP","ppm_1",4.58,0.0272554057547699,8
"14","betaGP","ppm_2",NA,NA,8
"15","betaGP","ppm_3",NA,NA,8
"16","betaGP","ppm_4",NA,NA,8
"17","g1P","ppm_1",3.27,NA,1
"18","g1P","ppm_2",NA,NA,1
"19","g1P","ppm_3",NA,NA,1
"20","g1P","ppm_4",NA,NA,1
"21","g6P","ppm_1",5.15142857142857,0.0121498579258791,7
"22","g6P","ppm_2",NA,NA,7
"23","g6P","ppm_3",NA,NA,7
"24","g6P","ppm_4",NA,NA,7
"25","phosphocholine","ppm_1",3.90333333333333,0.0115470053837925,3
"26","phosphocholine","ppm_2",NA,NA,3
"27","phosphocholine","ppm_3",NA,NA,3
"28","phosphocholine","ppm_4",NA,NA,3
"29","phytate","ppm_1",5.58125,0.0188509188862808,8
"30","phytate","ppm_2",4.5975,0.0237546987833085,8
"31","phytate","ppm_3",4.30125,0.201879560983417,8
"32","phytate","ppm_4",3.88875,0.0210017006114131,8
