"","Parent_ID","Sample_ID","Land_Coverage_Category","Burn_Treatment","Burn_Severity","Char_leached_g","Leachate_vol_mL","C_weight_per","N_weight_per","Solid_Ca_mg_kg","Solid_Mg_mg_kg","Solid_P_mg_kg","Solid_K_mg_kg","Solid_Na_mg_kg","Solid_S_mg_kg","Solid_Al_mg_kg","Solid_Fe_mg_kg","Total_Extractable_Ca_mg_per_kg","Total_Extractable_Mg_mg_per_kg","Total_Extractable_P_mg_per_kg","Total_Extractable_K_mg_per_kg","Total_Extractable_S_mg_per_kg","Total_Extractable_Al_mg_per_kg","Total_Extractable_Fe_mg_per_kg","NPOC_mg_C_per_L","TN_mg_N_per_L","Leachate_Ca_mg_L_filt0.7","Leachate_Mg_mg_L_filt0.7","Leachate_P_mg_L_filt0.7","Leachate_K_mg_L_filt0.7","Leachate_Na_mg_L_filt0.7","Leachate_S_mg_L_filt0.7","Leachate_Al_mg_L_filt0.7","Leachate_Fe_mg_L_filt0.7","Leachate_Ca_mg_L_unfilt","Leachate_Mg_mg_L_unfilt","Leachate_P_mg_L_unfilt","Leachate_K_mg_L_unfilt","Leachate_Na_mg_L_unfilt","Leachate_S_mg_L_unfilt","Leachate_Al_mg_L_unfilt","Leachate_Fe_mg_L_unfilt","MBD_P_mg_per_L_filt0.7","pH","MBD_P_mg_kgchar","MBD_P_percentofsolid","Leachate_Ca_mg_L_part","Leachate_Mg_mg_L_part","Leachate_P_mg_L_part","Leachate_K_mg_L_part","Leachate_Na_mg_L_part","Leachate_S_mg_L_part","Leachate_Al_mg_L_part","Leachate_Fe_mg_L_part","Leachate_Ca_mg_kgchar_part","Leachate_Mg_mg_kgchar_part","Leachate_P_mg_kgchar_part","Leachate_K_mg_kgchar_part","Leachate_Na_mg_kgchar_part","Leachate_S_mg_kgchar_part","Leachate_Al_mg_kgchar_part","Leachate_Fe_mg_kgchar_part","Leachate_Ca_mg_kgchar_filt0.7","Leachate_Mg_mg_kgchar_filt0.7","Leachate_P_mg_kgchar_filt0.7","Leachate_K_mg_kgchar_filt0.7","Leachate_Na_mg_kgchar_filt0.7","Leachate_S_mg_kgchar_filt0.7","Leachate_Al_mg_kgchar_filt0.7","Leachate_Fe_mg_kgchar_filt0.7","Leachate_Ca_mg_kgchar_unfilt","Leachate_Mg_mg_kgchar_unfilt","Leachate_P_mg_kgchar_unfilt","Leachate_K_mg_kgchar_unfilt","Leachate_Na_mg_kgchar_unfilt","Leachate_S_mg_kgchar_unfilt","Leachate_Al_mg_kgchar_unfilt","Leachate_Fe_mg_kgchar_unfilt","Leachate_Ca_perc_solid_part","Leachate_Mg_perc_solid_part","Leachate_P_perc_solid_part","Leachate_K_perc_solid_part","Leachate_Na_perc_solid_part","Leachate_S_perc_solid_part","Leachate_Al_perc_solid_part","Leachate_Fe_perc_solid_part","Leachate_Ca_perc_solid_filt0.7","Leachate_Mg_perc_solid_filt0.7","Leachate_P_perc_solid_filt0.7","Leachate_K_perc_solid_filt0.7","Leachate_Na_perc_solid_filt0.7","Leachate_S_perc_solid_filt0.7","Leachate_Al_perc_solid_filt0.7","Leachate_Fe_perc_solid_filt0.7"
"25","BSLE_0008","BSLE_0008A","Douglas-fir forest","burn table","Low",25.2,1000,25.45,0.53,12990.49,1130.45,1260.76,4948,266.8,408.9,1040,990.9,11611.54,399.1,622.61,3401.31,143.06,16.23,63.86,101.58,2.34,4.06,0.86,1.79,16.94,0.65,0.45,0.08,NA,6.23,1.04,2.1,16.1,0.57,0.55,0.41,0.4,1.34,5.93,53.1746031746032,4.21766261418535,2.17,0.18,0.31,-0.84,-0.0800000000000001,0.1,0.33,NA,86.1111111111111,7.14285714285715,12.3015873015873,-33.3333333333333,-3.17460317460318,3.96825396825397,13.0952380952381,NA,161.111111111111,34.1269841269841,71.031746031746,672.222222222222,25.7936507936508,17.8571428571429,3.17460317460317,NA,247.222222222222,41.2698412698413,83.3333333333333,638.888888888889,22.6190476190476,21.8253968253968,16.2698412698413,15.8730158730159,6.83009542744941,0.566551694442808,0.975727918207058,-2.64390790739977,-0.251800753085693,0.314750941357116,1.03867810647848,NA,12.7788882190989,2.70685809567119,5.63404185029237,53.3188094658954,2.04588111882125,1.41637923610702,0.251800753085692,NA
"26","BSLE_0008","BSLE_0008B","Douglas-fir forest","burn table","Low",25.5,1000,25.45,0.53,12990.49,1130.45,1260.76,4948,266.8,408.9,1040,990.9,11611.54,399.1,622.61,3401.31,143.06,16.23,63.86,89.64,3.02,2.16,0.59,1.81,13.76,1.87,0.48,0.07,0.06,4.65,0.88,2.02,12.93,1.57,0.59,0.68,0.86,1.07,5.16,41.9607843137255,3.32821348343265,2.49,0.29,0.21,-0.83,-0.3,0.11,0.61,0.8,97.6470588235294,11.3725490196078,8.23529411764706,-32.5490196078431,-11.7647058823529,4.31372549019608,23.921568627451,31.3725490196078,84.7058823529412,23.1372549019608,70.9803921568627,539.607843137255,73.3333333333333,18.8235294117647,2.74509803921569,2.35294117647059,182.352941176471,34.5098039215686,79.2156862745098,507.058823529412,61.5686274509804,23.1372549019608,26.6666666666667,33.7254901960784,7.74509492873579,0.902039168406981,0.653200777122296,-2.5816983095786,-0.933143967317566,0.342152788016441,1.89739273354572,2.48838391284684,6.71863656468647,1.83518313572455,5.62996860281598,42.8002033009657,5.81659739627949,1.49303034770811,0.217733592374099,0.186628793463513
"27","BSLE_0008","BSLE_0008C","Douglas-fir forest","burn table","Low",25.3,1000,25.45,0.53,12990.49,1130.45,1260.76,4948,266.8,408.9,1040,990.9,11611.54,399.1,622.61,3401.31,143.06,16.23,63.86,113.82,2.6,5.29,1.42,1.9,15.99,1.07,0.53,0.17,0.04,14.63,2.15,2.62,16.9,1.02,0.76,1.3,1.37,1.35,5.55,53.3596837944664,4.23234269761623,9.34,0.73,0.72,0.909999999999998,-0.05,0.23,1.13,1.33,369.169960474308,28.8537549407115,28.4584980237154,35.9683794466402,-1.97628458498024,9.09090909090909,44.6640316205534,52.5691699604743,209.090909090909,56.1264822134387,75.098814229249,632.01581027668,42.2924901185771,20.9486166007905,6.71936758893281,1.58102766798419,578.260869565217,84.9802371541502,103.557312252964,667.98418972332,40.3162055335968,30.0395256916996,51.3833992094862,54.1501976284585,29.2815413301745,2.28860012537767,2.25724943872866,2.85291248505983,-0.156753433245046,0.72106579292721,3.54262759133803,4.16964132431821,16.5845132373258,4.4517975041593,5.95663046331173,50.1297479517656,3.35452347144398,1.66158639239748,0.532961673033155,0.125402746596036
"28","BSLE_0010","BSLE_0010A","Douglas-fir forest","burn table","Low",25,1000,12.81,0.26,15430.49,1277.45,1377.76,6303,292,276.3,1298,1069,12835.53,293.6,441.72,4611.04,92.62,89.59,36.13,30.86,0.4,7.08,0.57,0.5,25.75,0.75,0.24,0.12,NA,66.48,2.64,3.1,38.49,1.46,0.54,1.86,2.05,0.2,7.41,8,0.580652653582627,59.4,2.07,2.6,12.74,0.71,0.3,1.74,NA,2376,82.8,104,509.6,28.4,12,69.6,NA,283.2,22.8,20,1030,30,9.6,4.8,NA,2659.2,105.6,124,1539.6,58.4,21.6,74.4,82,172.45383811404,6.00975496458019,7.54848449657415,36.9875740332133,2.06131692021833,0.87097898037394,5.05167808616885,NA,20.555103936825,1.65486006271049,1.45163163395657,74.7590291487632,2.17744745093485,0.696783184299152,0.348391592149576,NA
"29","BSLE_0010","BSLE_0010B","Douglas-fir forest","burn table","Low",25,1000,12.81,0.26,15430.49,1277.45,1377.76,6303,292,276.3,1298,1069,12835.53,293.6,441.72,4611.04,92.62,89.59,36.13,44.85,0.88,5.58,0.54,0.72,9.83,0.53,0.3,NA,0.01,11.74,1.17,1.4,12.78,0.81,0.42,0.81,0.95,0.43,6.6,17.2,1.24840320520265,6.16,0.63,0.68,2.95,0.28,0.12,NA,0.94,246.4,25.2,27.2,118,11.2,4.8,NA,37.6,223.2,21.6,28.8,393.2,21.2,12,NA,0.4,469.6,46.8,56,511.2,32.4,16.8,32.4,38,17.8841017303449,1.82905585878527,1.97421902218093,8.56462664034374,0.812913715015678,0.348391592149576,NA,2.72906747183835,16.2002090349553,1.56776216467309,2.09034955289746,28.5390779235861,1.53872953199396,0.87097898037394,NA,0.0290326326791313
"30","BSLE_0010","BSLE_0010C","Douglas-fir forest","burn table","Low",24.9,1000,12.81,0.26,15430.49,1277.45,1377.76,6303,292,276.3,1298,1069,12835.53,293.6,441.72,4611.04,92.62,89.59,36.13,63.12,0.89,7.6,0.82,1.04,27.32,0.85,0.47,0.08,0.03,55.86,3.48,4.41,43.01,1.6,0.87,4.09,4.58,0.92,7.69,36.9477911646586,2.68172912297197,48.26,2.66,3.37,15.69,0.75,0.4,4.01,4.55,1938.15261044177,106.827309236948,135.341365461847,630.120481927711,30.1204819277108,16.0642570281125,161.044176706827,182.730923694779,305.220883534137,32.9317269076305,41.7670682730924,1097.18875502008,34.136546184739,18.8755020080321,3.21285140562249,1.20481927710843,2243.3734939759,139.759036144578,177.10843373494,1727.30923694779,64.2570281124498,34.9397590361446,164.25702811245,183.935742971888,140.674182037638,7.7536950729407,9.82329037436472,45.7351412385111,2.18619221981411,1.16596918390086,11.6888410686061,13.2628994668723,22.1534144941163,2.39023682699676,3.03151987814223,79.6356952604285,2.47768451578932,1.37001379108351,0.233193836780171,0.0874476887925643
"31","BSLE_0050","BSLE_0050A","Douglas-fir forest","burn table","High",20,800,11.1,0.51,36115.49,3662.95,4082.26,16250,567.8,765.45,2224.5,2105.5,32862.02,943.41,2009.05,12179.36,572.41,342.33,4.17,31.9,1.29,12.78,7.01,5.39,67.33,2,4.62,0.43,0.03,181.19,16.53,22.4,90.11,3.18,5.26,7.47,6.98,NA,8.89,NA,NA,168.41,9.52,17.01,22.78,1.18,0.64,7.04,6.95,6736.4,380.8,680.4,911.2,47.2,25.6,281.6,278,511.2,280.4,215.6,2693.2,80,184.8,17.2,1.2,7247.6,661.2,896,3604.4,127.2,210.4,298.8,279.2,165.016436973637,9.32816626084571,16.6672382454817,22.3209692670237,1.15622228863424,0.627103614174501,6.89813975591952,6.80995331017623,12.5224752955471,6.86874427400508,5.28138825062588,65.9732599099518,1.95969879429532,4.52690421482218,0.421335240773493,0.0293954819144298
"32","BSLE_0050","BSLE_0050B","Douglas-fir forest","burn table","High",20.3,800,11.1,0.51,36115.49,3662.95,4082.26,16250,567.8,765.45,2224.5,2105.5,32862.02,943.41,2009.05,12179.36,572.41,342.33,4.17,48.46,1.47,11.78,6.14,2.39,118.58,3.07,7.05,2.2,0.03,275.49,24.25,29.83,137.38,4.36,7.59,12.86,11.51,2.07,9.87,81.5763546798029,1.99831354886271,263.71,18.11,27.44,18.8,1.29,0.54,10.66,11.48,10392.5123152709,713.694581280788,1081.37931034483,740.886699507389,50.8374384236453,21.2807881773399,420.098522167488,452.413793103448,464.23645320197,241.970443349754,94.1871921182266,4673.10344827586,120.985221674877,277.832512315271,86.6995073891626,1.18226600985222,10856.7487684729,955.665024630542,1175.56650246305,5413.99014778325,171.822660098522,299.113300492611,506.79802955665,453.5960591133,254.577423174196,17.4828301303883,26.4897216332332,18.1489346466758,1.2453258347985,0.521299186659838,10.2908320922109,11.0824345608425,11.3720452200979,5.92736482609519,2.30723158540188,114.473439915044,2.9636824130476,6.80585049250344,2.12381150120675,0.0289610659255465
"33","BSLE_0050","BSLE_0050C","Douglas-fir forest","burn table","High",20.1,800,11.1,0.51,36115.49,3662.95,4082.26,16250,567.8,765.45,2224.5,2105.5,32862.02,943.41,2009.05,12179.36,572.41,342.33,4.17,49.91,1.86,10.47,5.88,2.68,211.88,5.28,13.38,1.32,0.01,601.59,53.6,58.8,273.28,9.71,14.61,35.51,30.84,2.74,10.17,109.054726368159,2.67143019719859,591.12,47.72,56.12,61.4,4.43,1.23,34.19,30.83,23527.1641791045,1899.30348258706,2233.63184079602,2443.78109452736,176.318407960199,48.955223880597,1360.7960199005,1227.06467661692,416.716417910448,234.029850746269,106.666666666667,8433.03482587065,210.149253731343,532.537313432836,52.5373134328358,0.398009950248756,23943.8805970149,2133.33333333333,2340.29850746269,10876.815920398,386.467661691542,581.492537313433,1413.33333333333,1227.46268656716,576.326940937238,46.5257843103346,54.7155703163449,59.863435805837,4.3191371436459,1.19921866516579,33.3343789935109,30.0584645911068,10.2079832717771,5.73285020420719,2.61293172572709,206.577602256364,5.14786548949217,13.0451591381449,1.28696637237304,0.00974974524525033
"34","BSLE_0067","BSLE_0067A","Douglas-fir forest","burn table","High",7,281,9.36,0.27,75090.49,6950.45,7484.76,29390,1256,1272,5555,5142,37957.63,2.24,1548.55,22877.5,1137.54,517.09,5.89,23.81,2.25,8.22,2.68,1.97,473.98,11.46,27.94,0.34,0.02,291.39,24.26,32.07,452.88,12.28,27.66,12.69,11.85,2.76,11.01,110.794285714286,1.48026504142131,283.17,21.58,30.1,-21.1,0.819999999999999,-0.280000000000001,12.35,11.83,11367.2528571429,866.282857142857,1208.3,-847.014285714287,32.9171428571428,-11.24,495.764285714286,474.89,329.974285714286,107.582857142857,79.0814285714286,19026.9114285714,460.037142857143,1121.59142857143,13.6485714285714,0.802857142857143,11697.2271428571,973.865714285714,1287.38142857143,18179.8971428571,492.954285714286,1110.35142857143,509.412857142857,475.692857142857,151.871975282345,11.5739563745913,16.1434701981092,-11.3165189760832,0.439788889117925,-0.150171815796366,6.62364973244681,6.34475921739642,4.40861544945043,1.43735880833664,1.05656598971014,254.208704468432,6.14631788937979,14.985001904823,0.182351490609872,0.0107265582711689
