"","Burn_Severity","Land_Coverage_Category","Leachate_mg_P_per_g_P_in_solid_unfilt_Mean","Leachate_mg_P_per_g_P_in_solid_unfilt_Standard_Deviation","Leachate_mg_P_per_g_P_in_solid_filt0.7_Mean","Leachate_mg_P_per_g_P_in_solid_filt0.7_Standard_Deviation","Leachate_mg_P_per_g_P_in_solid_part_Mean","Leachate_mg_P_per_g_P_in_solid_part_Standard_Deviation","Leachate_mg_MBD_per_g_P_in_solid_filt0.7_Mean","Leachate_mg_MBD_per_g_P_in_solid_filt0.7_Standard_Deviation","Leachate_mg_nonMBD_per_g_P_in_solid_filt0.7_Mean","Leachate_mg_nonMBD_per_g_P_in_solid_filt0.7_Standard_Deviation","Count"
"1","Unburned","Douglas-fir Forest",119.891052002642,81.9723654284365,60.787199675619,19.1639998920636,59.1038523270226,86.3887437090208,55.4097404048338,18.7254340627835,5.37745927078519,2.92620161295587,6
"2","Unburned","Sagebrush Shrubland",249.740934295095,21.6474079760936,231.51862276592,14.9443384079125,18.2223115291751,27.7626321611141,157.372868111257,2.839735615992,74.1457546546633,12.781729560639,3
"3","Low","Douglas-fir Forest",101.359164036876,63.6855966718252,51.3194283729242,30.6290874893031,50.0397356639519,50.2005276263878,40.8709599209377,28.6801171981616,10.4484684519865,5.50121680227236,15
"4","Low","Sagebrush Shrubland",128.624259053886,38.0313391195481,85.5288144093186,11.0484376726625,43.0954446445678,34.954167483038,58.9350647931123,8.73409272069122,26.5937496162063,16.4429364288795,6
"5","Moderate","Douglas-fir Forest",151.006550687328,46.2811367654539,48.6259717338262,23.161204094642,102.380578953502,45.83879711761,45.021637410654,19.6122648290032,8.3662401284393,8.17345885210978,9
"6","Moderate","Sagebrush Shrubland",534.938272796831,265.155433206096,7.63837883206163,1.07529945913943,527.299893964769,265.913275205831,5.64303773573892,3.74888521915228,2.68906604147942,2.95782505687806,6
"7","High","Douglas-fir Forest",421.245372829089,286.418781489468,15.9367076360124,13.0931830185147,405.308665193077,290.458327324248,16.1730199748018,10.5111632748821,1.51935516716674,3.13315017196915,12
