mOz	abs_abu	sn	resolution	rel_abu
200.056446	18631.125	9.2562	1169504	0.00109637018048471
200.100947	21601.8379	10.732	1183904	0.00127118522994314
200.554591	20830.3047	10.3487	1178604	0.00122578346307539
201.019328	5040.064	2.504	1151204	0.000296588417357217
201.055722	16801.6543	8.3473	1202704	0.000988712853213783
201.076849	55443.3477	27.5449	1243204	0.00326262816252509
201.113234	321531.9375	159.7408	1228004	0.0189209201456419
201.232505	5413.728	2.6896	986004	0.000318577109243543
201.568954	4814.1685	2.3917	766804	0.000283295334405667
201.802044	12910.6504	6.4142	1238604	0.00075974221144579
201.829453	4977.9526	2.4731	669404	0.000292933399915803
202.080197	6081.3071	3.0213	1004904	0.000357861576410975
202.116589	32389.9629	16.0917	1180004	0.00190602497007378
203.034984	30660.5371	15.2325	1184904	0.00180425490109078
203.056113	111162.2109	55.2267	1230904	0.00654146935450822
203.092499	56772.8555	28.2054	1224304	0.00334086459251211
203.128884	148175.0156	73.6151	1220404	0.00871953081720488
204.030231	8988.0713	4.4654	1243104	0.000528913490376475
204.059475	6727.0874	3.3421	923604	0.000395863267885025
204.066623	10569.2217	5.2509	1045404	0.000621958121305712
204.132236	12503.4111	6.2118	1233304	0.00073577774205162
205.014245	36527.5859	18.1473	1221204	0.00214950819909445
205.050635	92138.2656	45.7754	1204004	0.00542198320742413
205.087019	190223.1719	94.5051	1207101	0.0111939033906099
205.108163	6465.4976	3.2121	958104	0.000380469712410573
205.123399	8508.3418	4.227	951904	0.000500683251005593
205.159789	8689.751	4.3172	1096504	0.00051135848598714
206.009498	10966.2744	5.4188	1006904	0.000645323148396719
206.045911	7956.3013	3.9275	1092804	0.00046819778689004
206.053995	8369.7803	4.1307	1127104	0.000492529438674709
206.082269	31243.1719	15.4071	1119104	0.00183854072230838
206.090375	21178.6133	10.4416	1181004	0.00124628008701229
206.523793	4741.644	2.31	672804	0.000279027546005634
206.993518	7445.8647	3.5815	1136604	0.000438160552570159
207.012152	8504.2891	4.0886	1069504	0.000500444765169099
207.029901	86916.25	41.7663	1181004	0.00511468763692766
207.06628	68333.2734	32.8044	1184404	0.00402115080493898
207.077529	5134.5869	2.4642	994004	0.000302150727144357
207.102671	63213.7031	30.3169	1189704	0.00371988374705519
