mOz	abs_abu	sn	resolution	rel_abu
200.064537	6789.3062	2.8323	1118904	0.00042327456219025
200.100931	13088.4297	5.4602	1074904	0.00081598902565705
201.011813	5348.2827	2.2312	572004	0.000333434956625198
201.040446	40364.3594	16.839	1174304	0.00251648784865896
201.055706	15451.8193	6.4461	1205304	0.000963332902742015
201.076839	89219.8828	37.2204	1211004	0.00556235139767822
201.092095	15647.7852	6.5279	1149404	0.00097555026016901
201.113222	77164.8906	32.1913	1204104	0.00481079131254583
201.128482	21596.6035	9.0096	1239904	0.00134642519014077
201.622083	5193.8242	2.1667	722404	0.000323805349116251
201.802038	18197.9785	7.5918	1136504	0.00113454028370897
201.817014	5484.2036	2.2879	714104	0.00034190885038477
202.043826	6217.9692	2.594	1104904	0.000387654955206242
202.080186	8079.2393	3.3705	1202804	0.000503694542092941
202.116572	5262.4336	2.1954	1087804	0.000328082754331402
203.034968	40899.4023	17.0622	1173604	0.00254984472527921
203.056099	59129.6367	24.6674	1185004	0.00368639598058798
203.071359	67517.1719	28.1665	1201904	0.00420931101565229
203.092488	62836.4766	26.2139	1186604	0.00391749633010261
203.107738	27526.332	11.4833	1204004	0.0017161099798391
203.128868	33402.4961	13.9347	1185904	0.00208245533435935
203.144124	13363.252	5.5748	1215104	0.000833122630370977
204.575244	6296.1025	2.6266	846304	0.000392526121327749
205.01424	26039.377	10.863	1185104	0.00162340680692555
205.050619	40958.3789	17.0868	1216704	0.00255352158029341
205.087004	31702.4336	13.2255	1215404	0.00197646612291628
205.123391	27757.3906	11.5797	1186704	0.00173051516718435
205.159774	6368.9717	2.657	858604	0.000397069100804379
206.009489	14361.1797	5.9598	1162504	0.000895337737168638
206.082266	16858.4297	6.9825	1126804	0.00105102704757706
206.993499	7357.8423	2.9749	1209504	0.000458719549016275
207.012126	14419.126	5.827	1145904	0.000898950358847573
207.029888	76681.2813	30.9737	1202904	0.00478064102786304
207.066268	66272.1563	26.7438	1168304	0.00413169138597495
207.102654	41353.5469	16.6722	1115304	0.00257815805378044
207.139037	29968.5645	12.0707	1153504	0.00186836926256291
207.288031	6173.9492	2.4771	769504	0.000384910558992736
207.562389	5798.522	2.31	1256804	0.00036150481192033
207.576581	5360.9248	2.1349	650504	0.000334223119536847
208.025146	8502.0547	3.3472	1232104	0.000530054673459868
208.17701	5533.979	2.1703	795204	0.000345012062999167
208.177313	12754.0518	5.0018	446804	0.000795142468577536
208.177448	11974.2637	4.6959	363304	0.000746527123076008
209.009147	82384.1797	31.6408	1196004	0.00513618425310091
209.030281	23640.6367	9.0748	1149704	0.00147385901509218
209.045536	159749.2656	61.2986	1191904	0.00995945660206841
209.081924	157622.9531	60.4281	1176904	0.00982689313151568
209.11831	55132.8867	21.1173	1142404	0.00343722138798618
209.578056	5989.7412	2.2684	1067404	0.000373426239644767
210.012512	8485.8975	3.1799	1070504	0.000529047364089108
210.040789	13156.7666	4.9268	1163204	0.000820249442049661
210.085275	20166.0234	7.5434	1022304	0.00125723667106859
210.557106	7301.5195	2.7004	874904	0.000455208143313093
210.581836	7025.1235	2.5966	1157804	0.000437976427369698
211.002417	5991.2666	2.1925	743104	0.000373521339644406
211.024802	298844.25	109.3015	1171204	0.0186312364408934
211.061187	245331.9688	89.6523	1161604	0.0152950505730751
211.097571	95262.1875	34.782	1147704	0.00593905467208829
211.133956	29173	10.6425	1159704	0.00181877034840116
211.542681	12522.0195	4.5245	1008104	0.000780676576584552
211.564892	7129.7749	2.5748	908204	0.000444500845949846
211.583084	7050.7407	2.5452	911804	0.000439573513845859
212.020049	26141.209	9.3623	1143404	0.00162975545197812
212.028164	28166.6797	10.0871	1138704	0.00175603201080701
212.075063	316061.5	113.1475	1183004	0.0197046338899391
212.100923	11133.4883	3.9849	1145904	0.000694109566870437
212.590925	5783.8374	2.0623	1044204	0.000360589310770016
213.040447	61697.9805	21.9239	1148004	0.00384651758439766
213.076835	218884.1563	77.7571	1148104	0.0136461801396238
213.113222	513206.0938	182.262	1154301	0.0319954761602244
213.149601	9831.1787	3.4905	1153604	0.000612917982702947
213.580579	7876.1528	2.7872	1091804	0.00049103325582274
214.070891	14325.9326	5.0507	1113504	0.000893140281290013
214.116574	62418.3203	21.9983	1157004	0.00389142666707731
215.011648	39421.1992	13.7994	1127804	0.00245768718347018
215.019711	11030.2295	3.8609	1129504	0.000687671968966502
215.056101	134238.6094	46.9746	1154304	0.00836901252484576
215.071356	35521.8672	12.4289	1140204	0.00221458604816796
215.092487	369386.2188	129.2252	1145804	0.0230291263106799
215.103746	5773.5439	2.0196	834504	0.00035994756968815
215.107744	24660.9453	8.6263	1100404	0.00153746944349854
215.128872	66926.2422	23.4069	1123104	0.00417246991544492
215.165262	22240.8359	7.7764	1095504	0.00138658941002215
215.549292	10451.7324	3.6438	1097104	0.000651605970539324
216.087737	17569.002	6.1005	960304	0.00109532718227816
216.095842	43975.2539	15.2686	1136604	0.00274160654909446
216.132226	7266.46	2.5223	1192904	0.000453022383225692
217.008694	12456.7559	4.2957	1101304	0.000776607762938033
217.014231	17135.4941	5.9089	1047504	0.00106830043445251
217.03538	17235.8359	5.9426	1172504	0.00107455617402489
217.050621	58008.1172	19.9978	1133904	0.00361647562917559
217.071747	111260.8125	38.3502	1148604	0.00693647779501667
217.087008	62452.3281	21.5241	1125004	0.00389354685966135
217.108135	169446.1875	58.3902	1137901	0.0105640044381662
217.123392	33177.418	11.4315	1103704	0.00206842299711757
217.144523	18822.7188	6.4844	1086704	0.00117348928220386
218.053976	10284.3672	3.5192	889704	0.000641171703816182
218.103386	37279.6523	12.752	1070504	0.00232417393486941
218.572773	9742.0752	3.3209	619804	0.000607362887109804
219.029884	70101.8047	23.8164	1095804	0.00437044814581185
219.066272	122185.1797	41.5001	1120004	0.00761754985268665
219.102658	87445.5938	29.6929	1124804	0.0054517345868362
219.12378	10524.04	3.573	1138604	0.000656113937455447
219.139046	35363.8516	12.0049	1144504	0.00220473467573918
219.736996	11587.7891	3.9165	849804	0.000722432633551784
220.025125	12556.0713	4.2349	1025004	0.000782799512317925
220.033251	7070.4146	2.3846	819504	0.000440800069426616
220.146883	8586.627	2.8935	1049904	0.000535327274547726
221.009149	76817.5859	25.7247	1108804	0.00478913884313163
221.045537	155978.7656	52.2205	1108004	0.00972438740799695
221.081924	114988.6797	38.4872	1142504	0.0071688890768916
221.093152	12493.3945	4.1813	860804	0.000778891970914138
221.094979	13575.9482	4.5435	989204	0.000846383026688723
221.118308	67939.0703	22.7335	1116104	0.00423561397729346
221.154692	19195.9785	6.4216	1016004	0.00119675989799973
222.040799	12123.3008	4.0298	995004	0.000755818737181232
222.048904	17624.2891	5.858	956504	0.00109877401798683
222.121634	10578.6807	3.5143	964304	0.000659520473806727
222.988413	7443.8726	2.4577	925004	0.000464083048097757
223.024802	137081.625	45.2469	1118604	0.00854625835055179
223.028366	39898.5547	13.1691	1083104	0.00248744757935152
223.045926	9257.3887	3.0552	1107504	0.000577145445143934
223.061184	163077.8594	53.8136	1104304	0.0101669754621552
223.097571	90568.5391	29.8787	1101204	0.00564643243454877
223.133955	62594.8477	20.6448	1106704	0.00390243214477245
224.020045	33290.5781	10.911	1041904	0.00207547788466778
224.028153	15253.1113	4.9989	968804	0.000950944591002046
224.056441	19053.168	6.2431	1066904	0.00118785647693092
224.100921	11641.2129	3.8132	933004	0.000725763303120869
224.1373	7795.5444	2.5529	1106704	0.000486007781317133
224.569839	7119.8608	2.3245	1071904	0.000443882758296499
225.004067	71966.7266	23.4241	1087804	0.00448671540162387
225.007604	7476.5562	2.4334	923704	0.000466120684355907
225.040451	192050.9844	62.4937	1100204	0.0119732847430149
225.076837	205189.5156	66.7519	1102604	0.0127923973117635
225.088084	6549.8281	2.1306	869904	0.000408344466986759
225.113221	308967.4375	100.4871	1099801	0.019262359508672
225.149604	23709.2246	7.7091	1072504	0.00147813507990482
225.580638	9617.2598	3.1198	823204	0.00059958135800605
226.035691	12648.125	4.0954	1079404	0.000788538536073473
226.043799	18541.9746	6.0036	993504	0.00115598648076261
226.116579	45428.8242	14.7049	1053904	0.00283222837615909
226.570265	6906.6875	2.2315	1053704	0.000430592617511841
227.019713	61853.4141	19.9485	1057704	0.00385620798383637
227.034965	18195.4121	5.8679	1074104	0.00113438028329002
227.056096	174984.4219	56.4265	1102604	0.0109092818011119
227.092482	208666.8906	67.2781	1087504	0.0130091918320484
227.103719	12632.3975	4.0727	1027104	0.000787558016049668
227.128869	127414.7734	41.0749	1088404	0.00794358522634536
227.140101	16681.3379	5.3773	901904	0.00103998638275736
227.201664	7460.8979	2.4045	1020504	0.000465144478557862
227.596266	9245.1455	2.9748	1009504	0.000576382151374711
228.02307	6985.7109	2.2439	986704	0.000435519276297357
228.08773	14245.6367	4.5747	1116504	0.000888134289379062
228.095841	27970.4004	8.9819	1109404	0.00174379511467549
228.124104	8505.5049	2.731	907904	0.000530269773773722
228.132229	18871.3398	6.0591	1007804	0.00117652052455499
228.557166	6340.3086	2.0323	784104	0.000395282119816024
229.014235	13691.3877	4.3805	1026904	0.00085358002184295
229.035366	53833.5	17.2222	1051404	0.00335621202998162
229.050625	29461.1895	9.4246	1094004	0.00183673732188077
229.07175	221985.0781	71.0065	1083704	0.0138395049475815
229.087001	29498.3574	9.4351	1016604	0.0018390545286964
229.108135	173377.5156	55.4503	1066904	0.0108091003480184
229.119374	11831.2783	3.7838	984304	0.000737612797988623
229.123385	11786.1211	3.7693	1099304	0.000734797503833863
229.14452	118239.4219	37.8103	1083504	0.00737155433324701
229.155752	55420.1094	17.7213	1040104	0.00345512808699374
230.012854	7009.6538	2.2338	804604	0.000437011979707179
