mOz	abs_abu	sn	resolution	rel_abu
200.100936	7632.0767	4.0619	1302404	0.000659008535421784
201.01933	18721.5117	9.9639	1200504	0.0016165503166784
201.030579	7219.9917	3.8426	1208904	0.000623426145071949
201.055721	35949.7422	19.133	1228304	0.00310415996684267
201.076846	74878.9766	39.8518	1233504	0.006465590774664
201.092099	12078.5684	6.4284	1145004	0.00104295069142529
201.11323	104639.8828	55.691	1220901	0.00903536201499851
202.014581	17668.9609	9.4037	1206704	0.00152566549090548
202.080194	6109.1475	3.2514	648304	0.000527507846802779
202.116587	10585.7607	5.6339	1033504	0.00091405091031547
202.530898	10972.0293	5.8395	1217004	0.000947404126533203
203.00984	15014.207	7.9908	1234004	0.00129643489636176
203.034983	54257.3945	28.8766	1225504	0.00468497467868044
203.071366	37361.9805	19.8846	1185504	0.00322610280498914
203.092493	13515.8262	7.1933	1088004	0.0011670538936116
203.107754	12367.7822	6.5823	1220604	0.00106792349637126
203.128873	6103.1484	3.2482	1099404	0.000526989841250653
204.030227	31997.377	17.0295	1161804	0.00276288425588132
204.222813	6272.2632	3.3382	879904	0.000541592432530448
204.370536	4063.0959	2.1624	839604	0.00035083699805287
204.510161	4082.4465	2.1727	851004	0.000352507868389581
205.014242	434099.4688	231.0345	1215601	0.0374832783272818
205.025483	38926.0313	20.717	1188704	0.00336115422907052
205.050632	111641.9297	59.4176	1192204	0.0096399692344888
205.087018	34561.4961	18.3942	1186904	0.00298428878824642
205.123415	8432.3135	4.4878	1099104	0.000728106751056674
205.159789	6356.4336	3.383	1110004	0.000548860311799778
205.202575	4416.9722	2.3508	744604	0.000381393229515204
205.294295	3833.7512	2.0404	821104	0.000331033722903166
206.009497	292785.2188	155.1238	1201704	0.025281186997837
206.017598	44722.5508	23.6905	1155004	0.00386166752006493
206.053989	11787.9004	6.2391	1101304	0.00101785232036542
206.08227	11397.4902	6.0285	1063704	0.000984141488539566
206.350199	4130.6187	2.1714	718204	0.000356667403496199
206.993511	74056.4688	38.3649	1176604	0.00639456952029807
207.012145	5761.9556	2.9837	1099504	0.000497528794636111
207.012847	29791.8027	15.4269	1175404	0.00257243906693204
207.029897	176887.7344	91.5613	1194204	0.0152737624847273
207.066279	229560.7188	118.7286	1189804	0.0198219277705582
207.081546	11201.4111	5.7914	1080104	0.000967210605164427
207.102671	20734.9902	10.7153	1145804	0.0017904085690972
207.139068	6185.0649	3.1937	1123504	0.00053406310254163
207.996854	6737.3413	3.413	1080704	0.000581750629255298
208.025137	20672.6035	10.4656	1131704	0.0017850216515631
208.061532	9890.8125	5.0033	1238504	0.000854044071616377
208.069627	28852.0234	14.5922	1164804	0.00249129174563839
209.008879	20677.7051	10.2458	1580204	0.00178546216049356
209.009158	5764839.5	2856.4614	1194101	0.497777811357249
209.009456	16177.2969	8.0158	2157104	0.00139686446510062
209.009582	15980.5596	7.9182	2591504	0.00137987674799135
209.009757	12120.7578	6.0057	3193404	0.00104659362843932
209.010018	7009.2881	3.473	1960204	0.000605232476912914
209.010289	8412.9014	4.1685	1117004	0.000726430570366501
209.024418	7781.543	3.8545	1249304	0.000671914533530781
209.045543	145825.5781	72.1994	1175504	0.0125916319277447
209.0608	33431.875	16.5469	1154704	0.00288674915703535
209.081933	101440.6172	50.1847	1181004	0.00875911435392858
209.097186	8748.4121	4.3266	1008504	0.000755400983494731
209.118318	13078.6855	6.4652	1143304	0.0011293080134529
209.154686	5398.4653	2.6665	1022204	0.000466142421089443
209.520524	8967.7656	4.395	1056204	0.000774341546392198
209.549308	4496.8726	2.2025	1044504	0.000388292406194549
210.012513	583548	283.0135	1183504	0.0503877421499592
210.013367	14162.8633	6.8687	972404	0.00122292374246081
210.030905	14188.0156	6.8783	1188304	0.00122509557341024
210.032232	10428.2666	5.0555	1212404	0.00090045173406786
210.056053	17477.2949	8.4685	1168204	0.00150911566640619
210.064165	6544.6084	3.1706	662204	0.000565108680916835
210.077173	11838.8369	5.7339	1176904	0.00102225054506677
210.085293	11442.083	5.5407	1260204	0.000987991952439956
210.528361	5216.8296	2.5028	1073504	0.000450458685018327
