eV,Pi_Al_GibbSorb_std.xmu.nor,Pi_Apatite_CaDefHydroxy_std.xmu.nor,Pi_Fe_GoethSorb_std.xmu.nor,Pi_K_Pyro_std.xmu.nor,Pi_Mg_Tri_std.xmu.nor,Pi_Na_Tri_std.xmu.nor,Pi_NH4_Mg_std.xmu.nor,Po_Na_AMP_std.xmu.nor
2155.8,1.4395758,NA,NA,NA,NA,NA,NA,NA
2156,1.4012672,NA,NA,NA,NA,NA,NA,NA
2156.2,1.3884481,NA,NA,NA,NA,NA,NA,NA
2156.4,1.3480783,NA,NA,NA,NA,NA,NA,NA
2156.6,1.3550975,NA,NA,NA,NA,NA,NA,NA
2156.8,1.3633346,NA,NA,NA,NA,NA,NA,NA
2157,1.3547308,NA,NA,NA,NA,NA,NA,NA
2157.2,1.3671613,NA,NA,NA,NA,NA,NA,NA
2157.4,1.3606441,NA,NA,NA,NA,NA,NA,NA
2157.6,1.385046,NA,NA,NA,NA,NA,NA,NA
2157.8,1.3682771,NA,NA,NA,NA,NA,NA,NA
2158,1.3942294,NA,NA,NA,NA,NA,NA,NA
2158.2,1.3813031,NA,NA,NA,NA,NA,NA,NA
2158.4,1.4185561,NA,NA,NA,NA,NA,NA,NA
2158.6,1.4184136,NA,NA,NA,NA,NA,NA,NA
2158.8,1.3975167,NA,NA,NA,NA,NA,NA,NA
2159,1.3992755,NA,NA,NA,NA,NA,NA,NA
2159.2,1.4162303,NA,NA,NA,NA,NA,NA,NA
2159.4,1.4191761,NA,NA,NA,NA,NA,NA,NA
2159.6,1.4116701,NA,NA,NA,NA,NA,NA,NA
2159.8,1.4213123,NA,NA,NA,NA,NA,NA,NA
2160,1.4086677,NA,NA,NA,NA,NA,NA,NA
2160.5,1.4196221,NA,NA,NA,NA,NA,NA,NA
2161,1.4128522,NA,NA,NA,NA,NA,NA,NA
2161.5,1.4033121,NA,NA,NA,NA,NA,NA,NA
2162,1.4155517,NA,NA,NA,NA,NA,NA,NA
2162.5,1.4379758,NA,NA,NA,NA,NA,NA,NA
2163,1.455094,NA,NA,NA,NA,NA,NA,NA
2163.5,1.4760148,NA,NA,NA,NA,NA,NA,NA
2164,1.5028614,NA,NA,NA,NA,NA,NA,NA
2164.5,1.5526617,NA,NA,NA,NA,NA,NA,NA
2165,1.5978106,NA,NA,NA,NA,NA,NA,NA
2165.5,1.6463004,NA,NA,NA,NA,NA,NA,NA
2166,1.7145122,NA,NA,NA,NA,NA,NA,NA
2166.5,1.7585124,NA,NA,NA,NA,NA,NA,NA
2167,1.8024216,NA,NA,NA,NA,NA,NA,NA
2167.5,1.8399507,NA,NA,NA,NA,NA,NA,NA
2168,1.8647196,NA,NA,NA,NA,NA,NA,NA
2168.5,1.9204075,NA,NA,NA,NA,NA,NA,NA
2169,1.920074,NA,NA,NA,NA,NA,NA,NA
2169.5,1.9241757,NA,NA,NA,NA,NA,NA,NA
2170,1.9266597,NA,NA,NA,NA,NA,NA,NA
2170.5,1.9181103,NA,NA,NA,NA,NA,NA,NA
2171,1.9133962,NA,NA,NA,NA,NA,NA,NA
2171.5,1.8732552,NA,NA,NA,NA,NA,NA,NA
