eV,BSLE_0013-solid_P-XANES.xmu.nor,BSLE_0007-solid_P-XANES.xmu.nor,BSLE_0002-solid_P-XANES.xmu.nor,BSLE_0050-solid_P-XANES.xmu.nor,BSLE_0014-solid_P-XANES.xmu.nor,BSLE_0011-solid_P-XANES.xmu.nor,BSLE_0072-solid_P-XANES.xmu.nor
2125.46,-0.029271033,0.016263238,0.048365709,0.011020563,0.046443132,0.075636984,0.056873816
2127.46,0.002800897,0.010716509,0.043972666,0.007026484,0.013291851,0.070010982,0.047546802
2129.46,0.00655938,0.009423868,0.036052315,0.003993099,0.010059168,0.052982242,0.041172746
2131.46,-0.015167269,0.004285907,0.036350035,0.000923598,0.002552399,0.043609465,0.031948956
2133.46,0.003227742,0.003600993,0.031550705,-0.00014867,-0.002999099,0.029402138,0.023795015
2135.46,-0.001195684,-0.00244494,0.01692047,0.001986192,0.000213734,0.021755446,0.018153852
2137.46,0.003774934,-0.000243153,0.000695868,-0.004833989,-0.009051796,0.011121153,0.009185175
2139.46,0.0010788,-0.001365775,-0.008911187,-0.001713152,-0.009022419,0.00470576,0.003999675
2140.46,0.032625039,0.000805875,-0.00181852,-0.003068224,0.004477745,0.001632147,0.002634927
2140.66,0.019822962,0.003662431,-0.005186781,-0.001579651,0.001494718,0.00604309,0.003358684
2140.76,0.025573575,-0.000244988,0.007133664,-0.003563953,-0.006584782,-0.007337196,0.001059582
2140.86,0.009505762,-0.004481592,0.001448226,0.001387885,-0.00751133,0.001260834,0.001678785
2140.96,0.004882522,0.002951605,0.015067557,-0.003023433,-0.004851576,0.00148905,0.001152932
2141.06,0.009814943,-0.001693768,-0.001581463,-0.001612801,0.010178461,-0.002350554,0.000537127
2141.16,0.020919151,-0.001267516,-0.005118507,-0.003770461,-0.006969961,0.002481815,0.001258817
2141.26,0.011932225,-0.001409199,-0.000591377,-0.000192849,0.000661488,0.001014162,-0.000257991
2141.36,0.001248311,-0.000317341,-0.000982778,0.000647146,-0.002112251,0.00505714,0.000619273
2141.46,0.018120259,0.001219459,0.001974608,0.002063196,0.004605427,-0.002374383,0.001714782
2141.56,0.023052681,0.001540806,-0.005846913,0.000606193,-5.48E-05,-0.001379438,6.75E-05
2141.66,0.011762699,0.003247625,0.00139495,-0.001401585,-0.015582022,-0.002231441,0.000976438
2141.76,0.024897233,-0.001886099,-0.009067434,0.001023917,-0.005769316,-0.006573385,0.000253722
2141.86,0.017334565,-6.71E-05,-0.010554577,-0.003391014,-0.004023333,-0.002367997,-0.000984379
2141.96,0.019337661,-0.000856342,-0.003269623,-0.001870226,0.015781889,-0.003469282,-0.001320741
2142.06,0.021209443,0.000568319,-0.003507127,-0.000858679,-0.000551017,0.005457347,-0.001623186
2142.16,0.013970011,-0.001382075,-0.013113846,0.000291916,-0.002460113,-0.001181009,-0.001003247
2142.26,0.002185075,-0.001270539,-0.009060718,0.00178381,0.004198612,0.000984804,-8.40E-05
2142.36,0.015097383,-0.000319761,0.000464968,0.001524063,0.004431471,-0.003300485,0.000314788
2142.46,0.026848062,-0.000797864,0.002886794,0.001401558,-0.009061871,-0.001055355,0.000445149
2142.56,0.040901797,-0.001261498,-0.001315082,-0.002070737,-0.018408858,-0.001065089,-0.001041429
2142.66,0.038975557,-0.000556704,0.003606022,-0.001844719,0.002310134,-0.009074492,-0.001382214
2142.76,0.034726058,-0.001863197,-0.013615493,-0.002351864,0.006630394,-0.004476297,-0.002000968
2142.86,0.024860335,-0.002015733,-0.008712856,-0.000664941,0.012267269,0.004231266,-0.000834676
2142.96,0.008408679,-0.003962509,-0.009861427,-9.94E-05,-0.011876897,0.003923149,-0.000157963
