Wavelength (nm)	Dilution Corrected Absorbance
230	12.67007
233	11.89312
236	11.21061
239	10.5212
242	9.943662
245	9.414804
248	9.002736
251	8.671642
254	8.455097
257	8.28012
260	8.155863
263	8.062149
266	7.990769
269	7.906424
272	7.772964
275	7.579292
278	7.328309
281	7.002101
284	6.618108
287	6.164018
290	5.850117
293	5.486038
296	5.177186
299	4.917297
302	4.72241
305	4.582129
308	4.479037
311	4.381759
314	4.274521
317	4.154787
320	4.006035
323	3.836878
326	3.651718
329	3.468532
332	3.280169
335	3.104199
338	2.93765
341	2.775456
344	2.630047
347	2.490838
350	2.360251
353	2.225113
356	2.096745
359	1.974423
362	1.847913
365	1.719754
368	1.595871
371	1.46976
374	1.347101
377	1.237938
380	1.140667
383	1.05334
386	0.9689657
389	0.8934024
392	0.8266003
395	0.7687927
398	0.7206882
401	0.6768575
404	0.6359628
407	0.5948655
410	0.5601822
413	0.5283758
416	0.4977797
419	0.473428
422	0.4509293
425	0.4308604
428	0.4135455
431	0.3976257
434	0.3874514
437	0.3805089
440	0.3721602
443	0.3578591
446	0.345129
449	0.330658
452	0.3251787
455	0.3197695
458	0.3199427
461	0.3197428
464	0.3181614
467	0.314851
470	0.3090756
473	0.3047879
476	0.2998111
479	0.2936231
482	0.285449
485	0.2814682
488	0.2752476
491	0.270603
494	0.2652265
497	0.2613739
500	0.2567886
503	0.2531773
506	0.2502538
509	0.2458234
512	0.2417607
515	0.2378714
518	0.2357882
521	0.2323592
524	0.2301035
527	0.2283172
530	0.2269016
533	0.2242281
536	0.223256
539	0.2226264
542	0.2220441
545	0.2215365
548	0.2206392
551	0.2207139
554	0.2200534
557	0.2221795
560	0.2226331
563	0.2233873
566	0.2224588
569	0.2231725
572	0.2225156
575	0.2226443
578	0.2216946
581	0.2243938
584	0.2237706
587	0.2238798
590	0.2243801
593	0.2246828
596	0.2242229
599	0.2262654
602	0.2281598
605	0.2286742
608	0.2278566
611	0.2286212
614	0.227855
617	0.2278991
620	0.228412
623	0.2274028
626	0.2265446
629	0.2265609
632	0.2266066
635	0.2257089
638	0.2256759
641	0.2236152
644	0.2222134
647	0.2225997
650	0.2197451
653	0.218872
656	0.2173766
659	0.2180099
662	0.2171739
665	0.2155161
668	0.214564
671	0.214229
674	0.2127467
677	0.212149
680	0.2105528
683	0.2094794
686	0.2073724
689	0.2024494
692	0.1984875
695	0.1954837
698	0.1932791
701	0.1978726
704	0.2025836
707	0.2071017
710	0.2058809
713	0.191132
716	0.1773001
719	0.1625196
722	0.1614141
725	0.1760084
728	0.1958302
731	0.2156104
734	0.2231622
737	0.2257622
740	0.2202495
743	0.2164275
746	0.2132851
749	0.2076785
752	0.2043881
755	0.2015349
758	0.198372
761	0.1930883
764	0.1904047
767	0.1907155
770	0.1873874
773	0.1828968
776	0.1813195
779	0.1834421
782	0.1829467
785	0.1825248
788	0.1794182
791	0.1832802
794	0.1876115
797	0.1879204
800	0.1839317
