Wavelength (nm)	Dilution Corrected Absorbance
230	2.772548
233	2.577582
236	2.426195
239	2.29085
242	2.184522
245	2.080396
248	1.988353
251	1.895319
254	1.814669
257	1.734188
260	1.662306
263	1.593066
266	1.527509
269	1.466603
272	1.404443
275	1.342718
278	1.281711
281	1.217734
284	1.157707
287	1.099166
290	1.059082
293	1.013991
296	0.9704833
299	0.926747
302	0.8842137
305	0.8448625
308	0.8096492
311	0.7770713
314	0.7450924
317	0.7155594
320	0.6864344
323	0.6574116
326	0.6286713
329	0.6017044
332	0.5746313
335	0.5491793
338	0.5248675
341	0.5015373
344	0.4802752
347	0.4604314
350	0.4422545
353	0.4245067
356	0.4071791
359	0.3911927
362	0.3744599
365	0.3580176
368	0.3415208
371	0.3246898
374	0.3075462
377	0.2914195
380	0.2762654
383	0.2624182
386	0.2485038
389	0.2352382
392	0.2233026
395	0.2116409
398	0.2016806
401	0.191944
404	0.1825022
407	0.1730493
410	0.164362
413	0.1557599
416	0.1476982
419	0.1405371
422	0.1334882
425	0.1266598
428	0.1205318
431	0.1143878
434	0.1084589
437	0.10332
440	0.09808514
443	0.09363715
446	0.08917409
449	0.0852538
452	0.0817368
455	0.07825857
458	0.07479416
461	0.07154331
464	0.06855163
467	0.06559817
470	0.06285414
473	0.06009343
476	0.05737994
479	0.0545618
482	0.05196365
485	0.0496868
488	0.04736265
491	0.04550933
494	0.04368909
497	0.04155499
500	0.03960066
503	0.03804481
506	0.03630222
509	0.03135506
512	0.03298526
515	0.03148745
518	0.03003868
521	0.02850901
524	0.0273183
527	0.02608356
530	0.02494395
533	0.02378509
536	0.02260387
539	0.02143365
542	0.02050399
545	0.01952821
548	0.01866416
551	0.01789084
554	0.01713994
557	0.01638017
560	0.01573919
563	0.01489447
566	0.01426945
569	0.01339297
572	0.01292476
575	0.01254224
578	0.01187605
581	0.01145333
584	0.0108266
587	0.01023446
590	0.009683457
593	0.009311391
596	0.008666465
599	0.008325078
602	0.007833895
605	0.007424841
608	0.007068482
611	0.006812941
614	0.006811444
617	0.006685345
620	0.006280512
623	0.005941415
626	0.005626153
629	0.005470026
632	0.004945765
635	0.004620125
638	0.00441901
641	0.004251424
644	0.004253048
647	0.004053562
650	0.003705829
653	0.003520884
656	0.003139886
659	0.002794563
662	0.002606005
665	0.002388385
668	0.002269057
671	0.002329526
674	0.00215286
677	0.002117806
680	0.002090264
683	0.002065432
686	0.001779031
689	0.001717519
692	0.001327167
695	0.001360836
698	0.000967252
701	0.0006526328
704	0.0002927166
707	0.0004535474
710	0.0005854705
713	0.0008523519
716	0.001319532
719	0.001180903
722	0.001082913
725	0.0009453397
728	0.0005881999
731	-0.0001407525
734	-0.000408971
737	-0.0008505714
740	-0.0009710264
743	-0.00111773
746	-0.0008637951
749	-0.001129184
752	-0.0006969049
755	-0.0001254081
758	-1.223635e-05
761	0.0003425489
764	0.0008141929
767	0.001379105
770	0.0008173902
773	0.000871916
776	0.0007616981
779	0.001152906
782	0.001649259
785	0.00224691
788	0.002975569
791	0.003471756
794	0.003076814
797	0.002800286
800	0.003160567
