Wavelength (nm)	Dilution Corrected Absorbance
230	2.322752
233	2.107607
236	1.949255
239	1.850624
242	1.811036
245	1.802516
248	1.813106
251	1.832733
254	1.848034
257	1.859404
260	1.870596
263	1.884659
266	1.904419
269	1.926518
272	1.94421
275	1.947614
278	1.909629
281	1.877959
284	1.790458
287	1.687462
290	1.565597
293	1.435762
296	1.304611
299	1.175608
302	1.061176
305	0.9689838
308	0.8973664
311	0.8384179
314	0.788692
317	0.74696
320	0.7068747
323	0.667797
326	0.6310852
329	0.5959858
332	0.5609398
335	0.5275102
338	0.4955311
341	0.4650969
344	0.4382371
347	0.4133294
350	0.3911418
353	0.3691656
356	0.3481971
359	0.329095
362	0.3097031
365	0.2913407
368	0.2744246
371	0.2580324
374	0.2427692
377	0.2286275
380	0.2168198
383	0.2062412
386	0.1946091
389	0.1839238
392	0.173577
395	0.1638663
398	0.155496
401	0.1478414
404	0.1408209
407	0.1341273
410	0.127599
413	0.1220125
416	0.1177034
419	0.1135841
422	0.110069
425	0.109861
428	0.1062936
431	0.1016072
434	0.09603533
437	0.0902966
440	0.08546033
443	0.08229491
446	0.08053265
449	0.0792141
452	0.0775932
455	0.0754621
458	0.07279289
461	0.0698942
464	0.06659019
467	0.06436718
470	0.06361967
473	0.0632682
476	0.06133353
479	0.05880327
482	0.05704041
485	0.05538347
488	0.05425148
491	0.05254393
494	0.0512571
497	0.05038882
500	0.0491168
503	0.04795104
506	0.04679971
509	0.04591851
512	0.04544073
515	0.04443565
518	0.04338957
521	0.03137183
524	0.0423859
527	0.04173994
530	0.0407252
533	0.03946209
536	0.03840545
539	0.03745531
542	0.03637607
545	0.03580751
548	0.0343867
551	0.03333682
554	0.03288956
557	0.03255633
560	0.03180194
563	0.03118769
566	0.03121352
569	0.03859433
572	0.03042874
575	0.03079948
578	0.03026039
581	0.03001322
584	0.02944465
587	0.02858445
590	0.02796426
593	0.02793898
596	0.02707421
599	0.02642356
602	0.02562309
605	0.02503015
608	0.02461115
611	0.02406697
614	0.02374968
617	0.02341365
620	0.02299885
623	0.02272128
626	0.02297685
629	0.02251837
632	0.022551
635	0.02186557
638	0.02124282
641	0.02046474
644	0.01987388
647	0.01964686
650	0.01932721
653	0.01910432
656	0.01825938
659	0.01793267
662	0.01750474
665	0.01667331
668	0.01658754
671	0.0164081
674	0.0162223
677	0.01546985
680	0.0153795
683	0.01463257
686	0.01441709
689	0.01483178
692	0.01538675
695	0.01545302
698	0.01408155
701	0.01260239
704	0.01149198
707	0.01136107
710	0.01274086
713	0.01556531
716	0.01810999
719	0.02008343
722	0.0196662
725	0.01684556
728	0.01342566
731	0.008105488
734	0.00347685
737	0.001710037
740	0.000424184
743	0.0009974614
746	0.002046369
749	0.003059057
752	0.003067786
755	0.005199216
758	0.00650706
761	0.008198537
764	0.008501744
767	0.01050814
770	0.01296098
773	0.01301238
776	0.01279265
779	0.01289633
782	0.01360882
785	0.01382778
788	0.01378302
791	0.0132929
794	0.01312723
797	0.0119544
800	0.01525331
