Wavelength (nm)	Dilution Corrected Absorbance
230	2.209896
233	2.092206
236	2.005993
239	1.93998
242	1.893651
245	1.861774
248	1.834877
251	1.802274
254	1.762887
257	1.71677
260	1.676824
263	1.64922
266	1.635988
269	1.630678
272	1.624416
275	1.608317
278	1.575366
281	1.520418
284	1.432624
287	1.369884
290	1.28804
293	1.212611
296	1.144886
299	1.083754
302	1.032829
305	0.9927822
308	0.962823
311	0.9382864
314	0.9149018
317	0.8910648
320	0.8630142
323	0.828781
326	0.7882721
329	0.7447741
332	0.6971504
335	0.6493841
338	0.6021416
341	0.5569345
344	0.5168758
347	0.480629
350	0.4483585
353	0.4180029
356	0.3894021
359	0.364063
362	0.3385942
365	0.3147154
368	0.2918821
371	0.2698412
374	0.2491147
377	0.2304473
380	0.2138627
383	0.1991608
386	0.1853313
389	0.1723511
392	0.1614016
395	0.1508198
398	0.1424983
401	0.1343554
404	0.1269672
407	0.1196313
410	0.1128433
413	0.1071002
416	0.1018755
419	0.09697003
422	0.09257297
425	0.0880631
428	0.08413376
431	0.08050817
434	0.07712102
437	0.07402321
440	0.07143809
443	0.0684639
446	0.06562731
449	0.06355711
452	0.0615761
455	0.05997323
458	0.05842913
461	0.05723209
464	0.0554294
467	0.05375482
470	0.05188087
473	0.05060423
476	0.0492525
479	0.04699619
482	0.04526904
485	0.0439504
488	0.04266655
491	0.04121468
494	0.03983504
497	0.03887859
500	0.03751165
503	0.0364902
506	0.03515127
509	0.03422017
512	0.03335415
515	0.03235448
518	0.03133881
521	0.03053539
524	0.02983171
527	0.02914189
530	0.02875905
533	0.02829344
536	0.0275518
539	0.02717665
542	0.02681213
545	0.02621121
548	0.02582487
551	0.02573885
554	0.02488899
557	0.02466647
560	0.02446724
563	0.02398793
566	0.02369523
569	0.02364402
572	0.02331887
575	0.02320426
578	0.02300634
581	0.02299672
584	0.02261758
587	0.02260716
590	0.02230626
593	0.02259905
596	0.02241767
599	0.02228678
602	0.02222692
605	0.02228889
608	0.02247753
611	0.02216863
614	0.02196747
617	0.02191104
620	0.02177374
623	0.02154689
626	0.02166081
629	0.02135842
632	0.02123098
635	0.02107935
638	0.02108571
641	0.02092635
644	0.02068963
647	0.0208971
650	0.02058446
653	0.02081402
656	0.02077228
659	0.02077616
662	0.02025207
665	0.0201717
668	0.02014681
671	0.01989563
674	0.01997833
677	0.01978301
680	0.01972633
683	0.01940933
686	0.01892607
689	0.01857398
692	0.01789026
695	0.01729199
698	0.01762981
701	0.01841057
704	0.01922653
707	0.01938108
710	0.01871866
713	0.01723855
716	0.01532956
719	0.01400831
722	0.01405484
725	0.01532125
728	0.01742849
731	0.01862422
734	0.01867043
737	0.01798329
740	0.01726888
743	0.01659291
746	0.01644072
749	0.01616765
752	0.01618399
755	0.01591549
758	0.01627972
761	0.0162867
764	0.01648823
767	0.01661935
770	0.01697415
773	0.01743144
776	0.01793274
779	0.01848034
782	0.01902779
785	0.01971494
788	0.01924398
791	0.01928213
794	0.0197526
797	0.01962359
800	0.01880124
