Wavelength (nm)	Dilution Corrected Absorbance
230	4.143583
233	3.89626
236	3.701186
239	3.524748
242	3.383676
245	3.246202
248	3.125585
251	3.003954
254	2.900212
257	2.797086
260	2.705695
263	2.617472
266	2.532754
269	2.452537
272	2.367445
275	2.280063
278	2.190496
281	2.093625
284	1.999771
287	1.905797
290	1.842733
293	1.770416
296	1.701049
299	1.631841
302	1.565012
305	1.502593
308	1.446588
311	1.394627
314	1.343641
317	1.296428
320	1.249957
323	1.203514
326	1.157295
329	1.11359
332	1.06944
335	1.027474
338	0.9871501
341	0.9482742
344	0.9125159
347	0.8791246
350	0.8483809
353	0.8183119
356	0.788694
359	0.7611645
362	0.7326018
365	0.70432
368	0.675597
371	0.6463878
374	0.6164373
377	0.5882716
380	0.5614634
383	0.5363293
386	0.5113033
389	0.4865917
392	0.4643799
395	0.4425942
398	0.4235102
401	0.4045681
404	0.3861621
407	0.3673772
410	0.3499092
413	0.3326871
416	0.3163177
419	0.3013275
422	0.2864747
425	0.2711816
428	0.258159
431	0.2447006
434	0.2319869
437	0.2210413
440	0.2103103
443	0.2009338
446	0.1916045
449	0.1833691
452	0.176195
455	0.1691751
458	0.1624252
461	0.1557778
464	0.1494377
467	0.1434137
470	0.1378605
473	0.1321227
476	0.1263056
479	0.1205541
482	0.1157473
485	0.1111267
488	0.1065122
491	0.1025432
494	0.09897461
497	0.09488601
500	0.09095856
503	0.08750452
506	0.08429808
509	0.07509869
512	0.07734712
515	0.07405981
518	0.07105691
521	0.06812417
524	0.06520435
527	0.06254233
530	0.06003362
533	0.05772204
536	0.05561197
539	0.05305777
542	0.05124265
545	0.0493655
548	0.04749356
551	0.04591521
554	0.04446831
557	0.04267651
560	0.04138168
563	0.0395415
566	0.03813937
569	0.03654302
572	0.03555529
575	0.03442948
578	0.03314701
581	0.03210609
584	0.03090519
587	0.02987904
590	0.02873168
593	0.02784214
596	0.02664855
599	0.02546717
602	0.02458477
605	0.02337151
608	0.02264724
611	0.02204422
614	0.02148083
617	0.02096762
620	0.02028138
623	0.01940592
626	0.01881759
629	0.01854702
632	0.0173983
635	0.01677259
638	0.0160483
641	0.01596892
644	0.01554245
647	0.01500297
650	0.01440189
653	0.01391677
656	0.01356278
659	0.01283704
662	0.01227414
665	0.01146144
668	0.01143198
671	0.01118826
674	0.01106994
677	0.01110406
680	0.01096079
683	0.0105231
686	0.0102168
689	0.00975223
692	0.00912678
695	0.008750807
698	0.008037251
701	0.007479152
704	0.007283744
707	0.007703664
710	0.007901197
713	0.007909676
716	0.007622599
719	0.006871512
722	0.006399006
725	0.006207506
728	0.005806077
731	0.005302632
734	0.004706009
737	0.003642431
740	0.003235749
743	0.00316759
746	0.003405267
749	0.003441114
752	0.004525858
755	0.005631929
758	0.006267476
761	0.006549672
764	0.007268027
767	0.008113298
770	0.00752728
773	0.007729361
776	0.007982068
779	0.008399612
782	0.008750319
785	0.009914155
788	0.01144626
791	0.01237026
794	0.01142551
797	0.01064623
800	0.01128401
