Wavelength (nm)	Dilution Corrected Absorbance
230	14.37267
233	13.7612
236	13.23446
239	12.71989
242	12.27193
245	11.84996
248	11.47762
251	11.12577
254	10.82445
257	10.53361
260	10.26183
263	9.984558
266	9.703831
269	9.433296
272	9.119517
275	8.792541
278	8.442706
281	8.060466
284	7.614252
287	7.349894
290	7.018499
293	6.713609
296	6.421813
299	6.12553
302	5.847129
305	5.590941
308	5.368776
311	5.164281
314	4.972635
317	4.800612
320	4.629391
323	4.463084
326	4.299114
329	4.141729
332	3.980341
335	3.821825
338	3.667768
341	3.515976
344	3.379473
347	3.248874
350	3.129803
353	3.011306
356	2.896102
359	2.791195
362	2.684061
365	2.581013
368	2.482838
371	2.38269
374	2.285671
377	2.194645
380	2.107877
383	2.027742
386	1.946628
389	1.863724
392	1.787874
395	1.713271
398	1.647152
401	1.578302
404	1.510734
407	1.44016
410	1.372942
413	1.304565
416	1.236611
419	1.178216
422	1.118553
425	1.062657
428	1.010742
431	0.958107
434	0.9069189
437	0.8604017
440	0.8147261
443	0.7740965
446	0.736819
449	0.7027484
452	0.6725361
455	0.6458376
458	0.6197776
461	0.5970478
464	0.5727078
467	0.5542666
470	0.5350881
473	0.5139364
476	0.4963367
479	0.4755726
482	0.4586267
485	0.4427269
488	0.4268148
491	0.4107519
494	0.3961369
497	0.3829961
500	0.3687078
503	0.3559577
506	0.344946
509	0.3324957
512	0.2776604
515	0.3101015
518	0.2992039
521	0.2890393
524	0.2795507
527	0.2694018
530	0.2617723
533	0.2522055
536	0.2441906
539	0.2354461
542	0.2285032
545	0.2203663
548	0.2137274
551	0.2058513
554	0.1988401
557	0.1941189
560	0.1875563
563	0.1815461
566	0.1765053
569	0.1715745
572	0.1664261
575	0.1619557
578	0.1574189
581	0.1532825
584	0.1494064
587	0.1444434
590	0.1394848
593	0.1350266
596	0.1321322
599	0.1278529
602	0.1230473
605	0.1197978
608	0.1156163
611	0.1131176
614	0.1112296
617	0.1068261
620	0.1051015
623	0.1007218
626	0.09983288
629	0.09640963
632	0.09507881
635	0.09268157
638	0.08923569
641	0.08940986
644	0.08626723
647	0.08289261
650	0.08165303
653	0.07884307
656	0.07755227
659	0.07499521
662	0.0712217
665	0.06916393
668	0.06760636
671	0.06537341
674	0.0663817
677	0.06373777
680	0.06094348
683	0.05984039
686	0.05828959
689	0.05663096
692	0.05588579
695	0.05505751
698	0.05242758
701	0.04864459
704	0.04766601
707	0.04762452
710	0.04505301
713	0.04445843
716	0.03960984
719	0.03568203
722	0.03388367
725	0.03232596
728	0.03292453
731	0.03008209
734	0.0256318
737	0.02162752
740	0.02069979
743	0.01910036
746	0.02016119
749	0.02104778
752	0.02254651
755	0.02607171
758	0.02981683
761	0.03038858
764	0.02974698
767	0.03216229
770	0.03473321
773	0.03420698
776	0.03704768
779	0.03447676
782	0.03497982
785	0.03497775
788	0.04263802
791	0.03917833
794	0.0391629
797	0.03780157
800	0.04019952
