Wavelength (nm)	Dilution Corrected Absorbance
230	1.760929
233	1.620612
236	1.504347
239	1.402895
242	1.329161
245	1.2684
248	1.223074
251	1.183879
254	1.152161
257	1.120783
260	1.094053
263	1.072661
266	1.055515
269	1.040914
272	1.025839
275	1.007915
278	0.9817889
281	0.9466026
284	0.9030933
287	0.8473682
290	0.8057495
293	0.7580301
296	0.7171186
299	0.6808849
302	0.6497159
305	0.6231733
308	0.6006637
311	0.5793986
314	0.5583314
317	0.5385318
320	0.5181364
323	0.4982704
326	0.4797583
329	0.4627974
332	0.446621
335	0.4314179
338	0.4168985
341	0.4022891
344	0.3885462
347	0.374829
350	0.3618465
353	0.3483545
356	0.3351156
359	0.3221487
362	0.3086179
365	0.2950572
368	0.2821318
371	0.268737
374	0.2561601
377	0.2448058
380	0.2346315
383	0.2253796
386	0.2168032
389	0.2086044
392	0.2014459
395	0.1947959
398	0.1892918
401	0.1838828
404	0.178761
407	0.1734949
410	0.1684198
413	0.1634685
416	0.1586894
419	0.1546822
422	0.1507258
425	0.1473563
428	0.1439766
431	0.1410977
434	0.1386132
437	0.1361151
440	0.1332262
443	0.1298329
446	0.1258997
449	0.1223228
452	0.1198423
455	0.1176385
458	0.1161448
461	0.1146262
464	0.1131041
467	0.1111808
470	0.109317
473	0.1070955
476	0.1052658
479	0.1028722
482	0.1004686
485	0.09878135
488	0.09666389
491	0.09457878
494	0.09293692
497	0.09102509
500	0.08898453
503	0.0872635
506	0.0857937
509	0.08388002
512	0.08232026
515	0.08079778
518	0.07909766
521	0.07759553
524	0.07615733
527	0.07472315
530	0.07339096
533	0.07229579
536	0.07099268
539	0.06998205
542	0.06904363
545	0.06797659
548	0.06695494
551	0.06605286
554	0.06511769
557	0.06454756
560	0.06381861
563	0.06292574
566	0.06215674
569	0.06148376
572	0.06099199
575	0.06050907
578	0.059788
581	0.05907469
584	0.05868016
587	0.0581295
590	0.05770881
593	0.05708724
596	0.05646473
599	0.05612868
602	0.05566697
605	0.05522384
608	0.05475589
611	0.05428379
614	0.05388405
617	0.05335973
620	0.05282306
623	0.05247766
626	0.05219674
629	0.05162952
632	0.05112913
635	0.0507108
638	0.05052237
641	0.0500949
644	0.04958567
647	0.04879117
650	0.04858795
653	0.04844427
656	0.04815627
659	0.0476334
662	0.04720094
665	0.04675816
668	0.04630896
671	0.04592292
674	0.04562595
677	0.04554951
680	0.04511004
683	0.04425055
686	0.04376047
689	0.0432131
692	0.04291076
695	0.04207014
698	0.04112141
701	0.04113166
704	0.0417288
707	0.04281122
710	0.04176703
713	0.03941516
716	0.03700173
719	0.03513673
722	0.03509013
725	0.03690813
728	0.03961738
731	0.04179273
734	0.04256168
737	0.04247269
740	0.04165173
743	0.04054843
746	0.0398897
749	0.03930087
752	0.03880588
755	0.03818367
758	0.03765801
761	0.03712031
764	0.03652958
767	0.03645751
770	0.03610739
773	0.03621926
776	0.03608857
779	0.03527117
782	0.03441011
785	0.03449299
788	0.03502782
791	0.03430275
794	0.03348952
797	0.03349498
800	0.0333574
