Wavelength (nm)	Dilution Corrected Absorbance
230	5.345191
233	5.007767
236	4.732684
239	4.452481
242	4.252222
245	4.07939
248	3.944916
251	3.82828
254	3.734155
257	3.645015
260	3.568799
263	3.500433
266	3.437942
269	3.379
272	3.309408
275	3.229703
278	3.132649
281	3.009322
284	2.845132
287	2.740896
290	2.605463
293	2.476677
296	2.354262
299	2.238322
302	2.129517
305	2.035705
308	1.956283
311	1.882294
314	1.812405
317	1.747647
320	1.68201
323	1.615925
326	1.551679
329	1.489882
332	1.428897
335	1.370933
338	1.314832
341	1.260302
344	1.20894
347	1.160995
350	1.115944
353	1.070886
356	1.027307
359	0.9869396
362	0.9459217
365	0.9045422
368	0.8657969
371	0.8265299
374	0.7884396
377	0.7533546
380	0.7210274
383	0.6913101
386	0.6616843
389	0.6343475
392	0.6087191
395	0.5852618
398	0.5647223
401	0.544375
404	0.5253097
407	0.506532
410	0.4894387
413	0.4713326
416	0.455129
419	0.4398071
422	0.4246861
425	0.4069426
428	0.3938439
431	0.3803537
434	0.3678588
437	0.3572046
440	0.3466818
443	0.3364338
446	0.3266977
449	0.3175234
452	0.3093189
455	0.3000273
458	0.2925684
461	0.2850899
464	0.2773746
467	0.2697983
470	0.2628271
473	0.2548977
476	0.2480117
479	0.2409052
482	0.2350396
485	0.229135
488	0.2232075
491	0.2173513
494	0.2124122
497	0.2073902
500	0.2013977
503	0.1959006
506	0.1909803
509	0.1865266
512	0.1807036
515	0.1761641
518	0.1706505
521	0.1659549
524	0.1614645
527	0.1573376
530	0.152083
533	0.1485359
536	0.1436836
539	0.1403136
542	0.1367314
545	0.1335218
548	0.1296677
551	0.1266244
554	0.1236616
557	0.1201681
560	0.1169517
563	0.1142426
566	0.1110355
569	0.1091235
572	0.1066928
575	0.1040135
578	0.1017763
581	0.09983981
584	0.0973867
587	0.09498474
590	0.0927365
593	0.09048098
596	0.08815826
599	0.08650852
602	0.08436954
605	0.08216502
608	0.08051564
611	0.07864611
614	0.07736787
617	0.07588274
620	0.07412267
623	0.07207196
626	0.071193
629	0.06973582
632	0.06810155
635	0.06677421
638	0.06558047
641	0.06376855
644	0.06223665
647	0.06103557
650	0.06058882
653	0.05887389
656	0.05713819
659	0.0554275
662	0.05368744
665	0.05214452
668	0.05103666
671	0.0501645
674	0.04891927
677	0.04789459
680	0.04753189
683	0.04623224
686	0.04580129
689	0.04501111
692	0.04509571
695	0.04183591
698	0.04176903
701	0.04137764
704	0.04059632
707	0.03846494
710	0.03782519
713	0.03517126
716	0.03265056
719	0.03085986
722	0.02931498
725	0.02906552
728	0.02773847
731	0.02680105
734	0.02545775
737	0.02297686
740	0.02070521
743	0.01906338
746	0.01951427
749	0.01897636
752	0.01999629
755	0.02055836
758	0.02207938
761	0.02319103
764	0.02386412
767	0.02486435
770	0.02462367
773	0.02457218
776	0.02656265
779	0.0242288
782	0.0259492
785	0.02420842
788	0.02436685
791	0.02402175
794	0.02440697
797	0.02550254
800	0.0266015
