Wavelength (nm)	Dilution Corrected Absorbance
230	0.004771722
233	0.004406689
236	0.004194036
239	0.003983427
242	0.003813613
245	0.003676216
248	0.003561994
251	0.003446601
254	0.003328129
257	0.003233882
260	0.003170125
263	0.003085134
266	0.002983422
269	0.002920107
272	0.002820833
275	0.002746113
278	0.002687209
281	0.002579402
284	0.00254278
287	0.002431172
290	0.002375176
293	0.002314035
296	0.002246357
299	0.002181995
302	0.0021319
305	0.002082025
308	0.002051168
311	0.002000874
314	0.001979013
317	0.001952225
320	0.001930846
323	0.001927873
326	0.001945573
329	0.001924491
332	0.001914453
335	0.0018901
338	0.001883033
341	0.001833686
344	0.001782505
347	0.001752639
350	0.00171924
353	0.001677051
356	0.00164074
359	0.001618412
362	0.001587962
365	0.001560584
368	0.001543774
371	0.001521305
374	0.00149686
377	0.00147002
380	0.001461933
383	0.00142936
386	0.001414341
389	0.001436639
392	0.00141568
395	0.001408076
398	0.001394136
401	0.001378426
404	0.001374263
407	0.001380686
410	0.001402126
413	0.001407955
416	0.001407911
419	0.001395488
422	0.001391281
425	0.001257056
428	0.001219497
431	0.001180333
434	0.001176428
437	0.001184209
440	0.001187097
443	0.00116354
446	0.001170608
449	0.001156254
452	0.001167175
455	0.0011626
458	0.001169955
461	0.001197705
464	0.001217428
467	0.001204272
470	0.001192996
473	0.001149752
476	0.001150082
479	0.001148468
482	0.001135029
485	0.001139475
488	0.001137085
491	0.001121833
494	0.001127139
497	0.001148299
500	0.001131186
503	0.001115872
506	0.00111364
509	0.001123137
512	0.001109418
515	0.001144858
518	0.001182992
521	0.001215237
524	0.001209292
527	0.001209239
530	0.001182009
533	0.001093663
536	0.001050023
539	0.001065666
542	0.001089099
545	0.001100601
548	0.001093257
551	0.001080329
554	0.001072469
557	0.001032727
560	0.001021014
563	0.001012722
566	0.001012106
569	0.00102339
572	0.001012034
575	0.001012285
578	0.001017253
581	0.001050761
584	0.001058816
587	0.001056571
590	0.001012834
593	0.001001404
596	0.0009903707
599	0.001003809
602	0.001010582
605	0.0009930024
608	0.0009959792
611	0.0009821194
614	0.001012435
617	0.001010231
620	0.001005191
623	0.001026772
626	0.001051163
629	0.001053847
632	0.00104158
635	0.001028494
638	0.00102493
641	0.001019084
644	0.0009824428
647	0.0009499912
650	0.0009160123
653	0.0008979867
656	0.0008823961
659	0.0008738233
662	0.0008773565
665	0.0008840786
668	0.00089328
671	0.0008599442
674	0.00087303
677	0.0008886812
680	0.0008967523
683	0.0008882858
686	0.0008829092
689	0.0009025698
692	0.000921527
695	0.0008593644
698	0.0008624133
701	0.0009099554
704	0.001000854
707	0.001000077
710	0.001013084
713	0.0009468931
716	0.0008921825
719	0.0008182605
722	0.0007940187
725	0.0007919903
728	0.0007855567
731	0.0007828827
734	0.0007612382
737	0.000729639
740	0.0006603708
743	0.0006427934
746	0.0006445835
749	0.0006447459
752	0.0006837178
755	0.0007035755
758	0.0007248685
761	0.0007644404
764	0.0007860592
767	0.0008183399
770	0.0008441301
773	0.0008623957
776	0.000898392
779	0.0008803798
782	0.0009466286
785	0.0009418988
788	0.0009357422
791	0.0009406247
794	0.001007955
797	0.001025673
800	0.001021845
