Wavelength (nm)	Dilution Corrected Absorbance
230	0.2862852
233	0.2595706
236	0.2379697
239	0.2166373
242	0.1997632
245	0.1830706
248	0.1678706
251	0.1524311
254	0.1387534
257	0.1255427
260	0.1144952
263	0.1053454
266	0.09786106
269	0.09190373
272	0.08651208
275	0.08146608
278	0.07618022
281	0.07065129
284	0.06473275
287	0.05968742
290	0.05504253
293	0.05079841
296	0.04697263
299	0.04328407
302	0.03986743
305	0.03687666
308	0.03434489
311	0.03213832
314	0.03013247
317	0.02842321
320	0.02677745
323	0.02523605
326	0.02380647
329	0.02245294
332	0.02110682
335	0.01981783
338	0.01861086
341	0.01742541
344	0.01641848
347	0.0154617
350	0.01469811
353	0.01395211
356	0.01328439
359	0.01269533
362	0.01205769
365	0.01138287
368	0.01069287
371	0.009971803
374	0.009120934
377	0.008312452
380	0.007596515
383	0.006921164
386	0.006301755
389	0.005779986
392	0.005328718
395	0.00496826
398	0.004641106
401	0.004382737
404	0.004107462
407	0.003878303
410	0.003678771
413	0.003500745
416	0.00332365
419	0.003151756
422	0.003016371
425	0.00285225
428	0.002719458
431	0.002619525
434	0.002522275
437	0.002409329
440	0.00227529
443	0.002212587
446	0.002117896
449	0.002055842
452	0.001998748
455	0.001940048
458	0.001870057
461	0.001822663
464	0.001766921
467	0.001729824
470	0.0016479
473	0.001610659
476	0.001545074
479	0.001526305
482	0.001472093
485	0.00140801
488	0.001411111
491	0.001341502
494	0.001297716
497	0.001257226
500	0.001228028
503	0.001191657
506	0.001142362
509	0.001126487
512	0.001095427
515	0.001091699
518	0.001030381
521	0.001018801
524	0.0009926035
527	0.0009669368
530	0.0009407905
533	0.000916127
536	0.000904739
539	0.0008625902
542	0.0008272861
545	0.0008027423
548	0.0008010915
551	0.000737719
554	0.0007653748
557	0.0007129526
560	0.0007223691
563	0.000714749
566	0.000689172
569	0.0007077388
572	0.0006869097
575	0.0006552409
578	0.0006764805
581	0.0006626641
584	0.000654953
587	0.0006315963
590	0.0006268185
593	0.0006270599
596	0.0006150909
599	0.0006078795
602	0.0006013278
605	0.0006283741
608	0.000594663
611	0.0005966468
614	0.0005959566
617	0.0005838591
620	0.0005983593
623	0.0005783095
626	0.0005675669
629	0.0006204842
632	0.0005741362
635	0.0006074001
638	0.0005837421
641	0.0005266506
644	0.0005746985
647	0.0005942319
650	0.0005952238
653	0.0005423459
656	0.0005836303
659	0.0005896747
662	0.0005563739
665	0.0005805424
668	0.0005787142
671	0.000574172
674	0.0005785128
677	0.0005504923
680	0.0005673025
683	0.000581669
686	0.0005313768
689	0.0005493227
692	0.0005323614
695	0.0005199575
698	0.0006089655
701	0.0005602581
704	0.0005497715
707	0.0005337569
710	0.0005786655
713	0.0005290492
716	0.000551706
719	0.0005977305
722	0.0005611647
725	0.000590373
728	0.0006063806
731	0.0006229902
734	0.0006303488
737	0.0006376983
740	0.0006615874
743	0.0006686288
746	0.0006671586
749	0.0006333463
752	0.0006748869
755	0.000629136
758	0.0006181601
761	0.000654925
764	0.0005993365
767	0.0005826298
770	0.0005720905
773	0.0006371185
776	0.0005655556
779	0.0005956078
782	0.000537986
785	0.000646649
788	0.0005730411
791	0.0006306859
794	0.0005318277
797	0.0005324251
800	0.0005024113
