Wavelength (nm)	Dilution Corrected Absorbance
230	2.605367
233	2.441805
236	2.295086
239	2.15829
242	2.045848
245	1.945187
248	1.861662
251	1.784329
254	1.72441
257	1.675951
260	1.645339
263	1.631633
266	1.634072
269	1.646494
272	1.662672
275	1.676576
278	1.681772
281	1.671573
284	1.622778
287	1.602698
290	1.55352
293	1.504371
296	1.456719
299	1.410543
302	1.370465
305	1.338179
308	1.313846
311	1.295463
314	1.279007
317	1.262547
320	1.240478
323	1.209277
326	1.168347
329	1.119879
332	1.062824
335	0.9999747
338	0.9324786
341	0.8610472
344	0.7911805
347	0.7234956
350	0.6608574
353	0.6013111
356	0.5469842
359	0.5010109
362	0.4586128
365	0.4208992
368	0.3879471
371	0.3584513
374	0.331821
377	0.3092222
380	0.2898498
383	0.2723286
386	0.2557612
389	0.2403904
392	0.2268058
395	0.2138294
398	0.2027738
401	0.1931359
404	0.1830618
407	0.1740267
410	0.165549
413	0.1570862
416	0.15009
419	0.1439108
422	0.1379238
425	0.132217
428	0.127044
431	0.1218565
434	0.1170873
437	0.113158
440	0.1092416
443	0.1053226
446	0.1021461
449	0.09876293
452	0.09630914
455	0.09302157
458	0.09014431
461	0.08737804
464	0.08524815
467	0.08270461
470	0.08051455
473	0.07803994
476	0.07593762
479	0.07375933
482	0.07158945
485	0.06970075
488	0.06749416
491	0.06540794
494	0.06338097
497	0.06194756
500	0.05987374
503	0.0582776
506	0.05667644
509	0.0548531
512	0.05346006
515	0.05224987
518	0.05072071
521	0.04933768
524	0.0480776
527	0.0470336
530	0.04537264
533	0.04432063
536	0.04265256
539	0.04154253
542	0.04048659
545	0.03922571
548	0.03844869
551	0.03742108
554	0.03620715
557	0.03584588
560	0.03459147
563	0.03416704
566	0.03355937
569	0.03252161
572	0.03176924
575	0.03116473
578	0.0307629
581	0.0296139
584	0.02878731
587	0.02824424
590	0.02795805
593	0.0271473
596	0.02624935
599	0.02599219
602	0.02483993
605	0.0250321
608	0.02370181
611	0.02340143
614	0.02327236
617	0.02250738
620	0.02203011
623	0.02190828
626	0.02141692
629	0.02086711
632	0.02055299
635	0.01973833
638	0.01915414
641	0.01897822
644	0.01848429
647	0.01818236
650	0.01783299
653	0.01759873
656	0.01696915
659	0.01638701
662	0.01664668
665	0.01645109
668	0.01556721
671	0.01523721
674	0.01541448
677	0.01497711
680	0.01502095
683	0.01429398
686	0.01436617
689	0.01449213
692	0.01397316
695	0.01368581
698	0.01336081
701	0.01302288
704	0.01231755
707	0.01176135
710	0.01142474
713	0.01080975
716	0.01072542
719	0.009981699
722	0.009627679
725	0.009414843
728	0.00901075
731	0.009027408
734	0.00795338
737	0.00745092
740	0.007057643
743	0.006971869
746	0.006631916
749	0.006926066
752	0.006643959
755	0.00704062
758	0.007213476
761	0.007251657
764	0.007485143
767	0.007765312
770	0.007840773
773	0.008012955
776	0.007622473
779	0.007783156
782	0.008351946
785	0.008664381
788	0.009370063
791	0.008189007
794	0.008471441
797	0.006980272
800	0.007722325
