File_Name,Pre_Edge_Range_Start,Pre_Edge_Range_End,Normalization_Range_Start,Normalization_Range_End
Pi_Al_GibbSorb_std.xmu,-17.4,-9,27,43.6
Pi_Al_Precip_std.xmu,-25.4,-7,28,61.6
Pi_Al_std.xmu,-17.4,-10,28,63.6
Pi_Apatite_CaDefHydroxy_std.xmu,-22.4,-7,30,73.6
Pi_Apatite_Carbonate_std.xmu,-37.4,-8,23,66.6
Pi_Apatite_Fluor_std.xmu,-32.4,-8,28,48.6
Pi_Apatite_Hydroxy_std.xmu,-15.4,-8,32,57.6
Pi_Ca_Dibasic_std.xmu,-27.4,-10,28,48.6
Pi_Ca_Mono_std.xmu,-25.4,-7,28,65
Pi_Ca_Octa_std.xmu,-25.4,-7,28,51.6
Pi_Ca_Precip_std.xmu,-25.4,-7,26,51.6
Pi_Ca_Pyro_std.xmu,-27.4,-10,28,53.6
Pi_Ca_Tri_std.xmu,-20.4,-7,28,67.6
Pi_Fe_FerriSorb_std.xmu,-27.4,-8,25,53.6
Pi_Fe_GoethSorb_std.xmu,-27.4,-10,23,49.6
Pi_Fe_Precip_std.xmu,-25.4,-8,28,61.6
Pi_Fe_Pyro_std.xmu,-20.4,-8,25,75.6
Pi_Fe_std.xmu,-17.4,-8,25,43.6
Pi_K_Di_std.xmu,-25.4,-7,30,58.6
Pi_K_Pyro_std.xmu,-25.4,-7,28,58.6
Pi_Mg_Di_std.xmu,-25.4,-7,34,63.6
Pi_Mg_Pyro_std.xmu,-20.4,-7,26,71.6
Pi_Mg_Tri_std.xmu,-25.4,-7,24,60.6
Pi_Na_Di_std.xmu,-20.4,-10,28,63.6
Pi_Na_Mono_std.xmu,-13.4,-8,25,60.6
Pi_Na_Pyro_std.xmu,-27.4,-10,25,53.6
Pi_Na_Tri_std.xmu,-22.4,-10,24,57.6
Pi_NH4_Di_std.xmu,-20.4,-7,34,63.6
Pi_NH4_Mg_std.xmu,-17.4,-7,28,73.6
Pi_NH4_Mono_std.xmu,-22.4,-10,28,56.6
Po_Al_DNA_GibbSorb_2_std.xmu,-25.4,-7,26,61.6
Po_Al_DNA_GibbSorb_std.xmu,-25.4,-7,28,51.6
Po_Al_PA_GibbSorb_std.xmu,-27.4,-10,27,53.6
Po_Al_PA_Precip_std.xmu,-15.4,-8,26,43.6
Po_Ca_Lecithin_std.xmu,-25.4,-7,26,56.6
Po_Ca_PA_std.xmu,-17.4,-10,28,68.6
Po_Fe_DNA_FerriSorb_std.xmu,-17.4,-8,28,51.6
Po_Fe_DNA_GoethSorb_std.xmu,-22.4,-8,22,58.6
Po_Fe_PA_FerriSorb_2_std.xmu,-22.4,-8,26,58.6
Po_Fe_PA_FerriSorb_std.xmu,-22.4,-8,28,64.6
Po_Fe_PA_GoethSorb_std.xmu,-17.4,-7,24,45.6
Po_Fe_PA_Precip_std.xmu,-16.4,-10,28,58.6
Po_Na_AMP_std.xmu,-17.4,-7,24,61.6
Po_Na_ATP_std.xmu,-25.4,-7,26,58.6
Po_Na_DNA_std.xmu,-27.4,-10,26,43.6
Po_Na_PA_std.xmu,-17.4,-10,26,48.6
BSLE_0001-solid_P-XANES.xmu,-25,-9.5,31,50
BSLE_0002-solid_P-XANES.xmu,-20,-8,28,48
BSLE_0003-solid_P-XANES.xmu,-20.4,-7,23,52
BSLE_0004-solid_P-XANES.xmu,-20.4,-8,24,55.6
BSLE_0005-solid_P-XANES.xmu,-25,-10,29,51
BSLE_0006-solid_P-XANES.xmu,-25,-6,25,48
BSLE_0007-solid_P-XANES.xmu,-20,-10,29,50
BSLE_0008-solid_P-XANES.xmu,-25,-10,26,48
BSLE_0009-solid_P-XANES.xmu,-25,-8.5,38,55
BSLE_0010-solid_P-XANES.xmu,-25,-9,30,50
BSLE_0011-solid_P-XANES.xmu,-18,-9,36.5,52
BSLE_0012-solid_P-XANES.xmu,-15,-10,27,47
BSLE_0013-solid_P-XANES.xmu,-15,-7.5,23.5,48
BSLE_0014-solid_P-XANES.xmu,-25,-10,23,48
BSLE_0016-solid_P-XANES.xmu,-25,-7.5,27,48
BSLE_0017-solid_P-XANES.xmu,-20.4,-8,22.5,50
BSLE_0050-solid_P-XANES.xmu,-25,-10,28,80
BSLE_0051-solid_P-XANES.xmu,-25,-9,28,51
BSLE_0052-solid_P-XANES.xmu,-25,-10,28,48
BSLE_0058-solid_P-XANES.xmu,-25,-8,31,48
BSLE_0067-solid_P-XANES.xmu,-25,-10,28,58
BSLE_0068-solid_P-XANES.xmu,-25,-7.5,32,65
BSLE_0071-solid_P-XANES.xmu,-12,-8.5,31,56
BSLE_0072-solid_P-XANES.xmu,-13,-9.5,26.5,80
BSLE_0073-solid_P-XANES.xmu,-25,-10,33,55
BSLE_0001-filt07_P-XANES.xmu,-25,-10,33.5,51
BSLE_0002-filt07_P-XANES.xmu,-25,-10,33.5,63
BSLE_0003-filt07_P-XANES.xmu,-25,-10,33.5,51
BSLE_0004-filt07_P-XANES.xmu,-25,-10,33.5,51
BSLE_0005-filt07_P-XANES.xmu,-25,-10,28,51
BSLE_0006-filt07_P-XANES.xmu,-25,-10,35,62
BSLE_0007-filt07_P-XANES.xmu,-25,-10,33.5,51
BSLE_0008-filt07_P-XANES.xmu,-25,-10,33.5,51
BSLE_0009-filt07_P-XANES.xmu,-25,-10,28,51
BSLE_0010-filt07_P-XANES.xmu,-25,-10,33.5,51
BSLE_0011-filt07_P-XANES.xmu,-25,-10,33.5,51
BSLE_0012-filt07_P-XANES.xmu,-25,-10,28.5,50
BSLE_0013-filt07_P-XANES.xmu,-25,-8,26,48
BSLE_0014-filt07_P-XANES.xmu,-25,-10,33.5,51
BSLE_0016-filt07_P-XANES.xmu,-25,-10,33.5,65
BSLE_0017-filt07_P-XANES.xmu,-25,-10,33.5,51
BSLE_0050-filt07_P-XANES.xmu,-25,-10,33.5,58
BSLE_0051-filt07_P-XANES.xmu,-25,-10,33.5,55
BSLE_0052-filt07_P-XANES.xmu,-25,-10,33.5,55
BSLE_0058-filt07_P-XANES.xmu,-25,-10,33.5,51
