"Pi_Al_GibbSorb_std";"Pi_Al_Precip_std";"Pi_Al_std";"Pi_Apatite_CaDefHydroxy_std";"Pi_Apatite_Carbonate_std";"Pi_Apatite_Fluor_std";"Pi_Apatite_Hydroxy_std";"Pi_Ca_Dibasic_std";"Pi_Ca_Mono_std";"Pi_Ca_Octa_std";"Pi_Ca_Precip_std";"Pi_Ca_Pyro_std";"Pi_Ca_Tri_std";"Pi_Fe_FerriSorb_std";"Pi_Fe_GoethSorb_std";"Pi_Fe_Precip_std";"Pi_Fe_Pyro_std";"Pi_Fe_std";"Pi_K_Di_std";"Pi_K_Pyro_std";"Pi_Mg_Di_std";"Pi_Mg_Pyro_std";"Pi_Mg_Tri_std";"Pi_Na_Di_std";"Pi_Na_Mono_std";"Pi_Na_Pyro_std";"Pi_Na_Tri_std";"Pi_NH4_Di_std";"Pi_NH4_Mg_std";"Pi_NH4_Mono_std";"Po_Al_DNA_GibbSorb_2_std";"Po_Al_DNA_GibbSorb_std";"Po_Al_PA_GibbSorb_std";"Po_Al_PA_Precip_std";"Po_Ca_Lecithin_std";"Po_Ca_PA_std";"Po_Fe_DNA_FerriSorb_std";"Po_Fe_DNA_GoethSorb_std";"Po_Fe_PA_FerriSorb_2_std";"Po_Fe_PA_FerriSorb_std";"Po_Fe_PA_GoethSorb_std";"Po_Fe_PA_Precip_std";"Po_Na_AMP_std";"Po_Na_ATP_std";"Po_Na_DNA_std";"Po_Na_PA_std";"R.fac"
0;0;0;0,233843409419043;0,496416937742052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,269739652838905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000676051497152721
0;0;0;0,276770117277966;0;0;0;0;0;0;0;0;0,374666299395069;0;0,348563583326965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000835805563053321
0;0;0;0,171891695791237;0;0;0;0;0;0;0;0;0,373892331083134;0;0;0;0;0;0;0;0;0;0;0;0;0;0,454215973125629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000840888492555462
0;0;0;0,201331735117693;0,493215020079269;0;0;0;0,305453244803038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000845633133783465
0;0;0;0,280973562303612;0,380064774478743;0;0;0;0;0;0;0;0;0;0,338961663217645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000982136312054374
0;0;0;0,144781498142509;0;0;0;0;0;0,597166488819087;0;0;0;0;0;0;0;0;0;0;0;0;0,258052013038404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00103965657368648
0;0;0;0,100463021059309;0;0;0;0;0;0;0;0;0,443757194751907;0;0;0;0;0;0,455779784188784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0010918042668012
0;0;0;0,114030129415194;0;0;0;0;0,292733149785645;0,593236720799161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00115521730102648
0,175327078454394;0;0;0,210497271982669;0,614175649562937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00118937320325757
0;0;0;0,418294331101811;0;0;0;0;0;0;0;0;0;0;0,286803593256524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,294902075641665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00123997262968661
0,168251622467165;0;0;0,100966035645371;0;0;0;0;0;0,730782341887464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0012433622830836
0;0;0;0,112046292866082;0,449872070754841;0;0;0;0;0;0;0;0;0;0;0;0;0;0,438081636379077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00128828497851095
0;0;0;0,203438927809864;0;0,3046532928604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,491907779329736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00132876692974963
0;0;0;0,212045474802269;0;0;0;0;0;0,457215058972888;0;0;0;0;0,330739466224844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00132927989089907
0;0;0;0,165586284445405;0;0;0;0;0;0,6245768194891;0;0;0;0,209836896065495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00136431552208763
0;0;0;0,333197573294324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,371300796211815;0;0;0,295501630493861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00139550945314062
0;0;0;0,317474566691503;0;0,304667263278232;0;0;0;0;0;0;0;0;0,377858170030265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00141205106893066
0;0;0;0,181689112077517;0;0;0,287327142672754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,53098374524973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00146015005344522
0;0;0;0,226390120294736;0,56008935191942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,213520527785844;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00148704677001836
0;0;0;0,181262970049415;0,377476489320831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,441260540629754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00150799740766736
0;0;0;0,336201354475966;0;0;0;0;0;0;0,466119690435425;0;0;0,197678955088609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00152230713616904
0;0;0;0,125544752673144;0;0;0;0;0;0,669061407338357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,205393839988498;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00153003558460958
0;0;0;0,26151478953395;0,523719713190237;0;0;0;0;0;0;0;0;0,214765497275813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00154701337182815
0;0,146611034436325;0;0,130328814913268;0;0;0;0;0;0,723060150650407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00160353544646003
0;0;0;0,305106329833789;0;0;0,286323692912636;0;0;0;0;0;0;0;0,408569977253575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00160781411217678
0;0;0;0,337518679705508;0;0;0;0;0;0;0,344611559630304;0;0;0;0,317869760664187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00161481781130922
0;0;0;0,284541231926536;0;0;0;0;0;0;0;0;0,296765012611164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,418693755462301;0;0;0;0;0;0,00162014814464864
0;0;0;0,400688882387629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,248084959089174;0;0;0;0;0;0;0;0;0;0;0,351226158523197;0;0;0;0;0;0,00162451954100355
0;0;0;0,110845305624963;0;0;0;0;0;0,722670033155534;0;0;0;0;0;0,166484661219503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00166628024973322
0;0;0;0,231346252592311;0;0;0;0;0;0;0;0;0,499489142483242;0;0;0;0;0;0;0;0;0;0,269164604924447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00168504367109547
0;0;0;0,308465185762493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,345056476575279;0;0;0;0;0;0;0;0;0;0;0,346478337662227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00174195655262241
