Chemical_Shift_parts_per_million,BSLE_0004-solid,BSLE_0003-solid,BSLE_0008-solid,BSLE_0010-solid,BSLE_0001-solid,BSLE_0013-solid,BSLE_0017-solid,BSLE_0057-solid,BSLE_0066-solid,BSLE_0070-solid,BSLE_0014-solid,BSLE_0024-solid,BSLE_0028-solid,BSLE_0034-solid,BSLE_0018-solid,BSLE_0044-solid,BSLE_0042-solid,BSLE_0030-solid,BSLE_0063-solid,BSLE_0019-solid,BSLE_0046-solid
0.9997,0.6794,0.3904,0,0,0,0.0202,0.0785,0,0.2405,0,0.6962,0,0,0,0.2463,0.0538,0.2923,0,0,0,0
1.0603,0.5669,0.378,0,0,0,0.0306,0.0843,0,0.2112,0,0.7161,0,0,0,0.328,0.0675,0.3091,0,0,0,0
1.121,0.4307,0.3781,0,0,0,0.0314,0.1314,0.029,0.1799,0,0.7418,3.00E-04,0,0,0.3959,0.079,0.3267,0,0,0,0
1.1817,0.3122,0.3957,0,0,0,0.0288,0.202,0.0744,0.1596,0,0.7718,0.0106,0,0,0.4297,0.0772,0.3401,0,0,0,0
1.2423,0.2429,0.4239,0,0,0,0.0352,0.2694,0.0997,0.1549,0,0.7973,0.0219,0,0,0.4324,0.0547,0.3458,0,0,0,0
1.303,0.2345,0.4488,0,0,0,0.0597,0.3101,0.0939,0.1644,0,0.808,0.0317,0,0,0.4227,0.0137,0.3404,0,0,0,0
1.3637,0.2771,0.4597,0,0,0,0.101,0.3135,0.0528,0.1854,0,0.7992,0.0359,0,0,0.4145,0,0.3203,0,0,0,0
1.4243,0.3447,0.4551,0,0,0,0.1457,0.2842,0,0.2174,0,0.7751,0.0306,0,0,0.4045,0,0.2837,0,0,0,0
1.485,0.4049,0.4411,0,0,0,0.1764,0.2361,0,0.2611,0,0.7453,0.0156,0,0,0.3793,0,0.2345,0,0,0,0
1.5456,0.4303,0.426,0,0,0,0.1813,0.1839,0,0.3123,0,0.7185,0,0,0,0.3322,0,0.1842,0,0,0,0
1.6063,0.408,0.4159,0,0,0,0.1611,0.1366,0,0.359,0,0.6971,0,0,0,0.2718,0,0.149,0,0,0,0.0361
1.667,0.3432,0.4133,0,0,0,0.1267,0.0964,0,0.3823,0,0.678,0,0,0,0.2141,0,0.1434,0,0,0,0.0918
1.7276,0.2558,0.4178,0,0,0,0.0904,0.0625,0,0.3655,0,0.6571,0,0,0,0.1666,0,0.1716,0,0,0,0.1208
1.7883,0.1702,0.4277,0,0,0,0.057,0.0356,0,0.3039,0,0.6354,0,0,0,0.1225,0,0.2239,0,0,0,0.128
1.849,0.1043,0.4427,0,0,0,0.0217,0.0193,0,0.2103,0,0.6195,0.0189,0,0,0.0711,0,0.28,0,0,0,0.13
1.9096,0.063,0.4646,0,0,0,0,0.0175,0,0.1107,0,0.6174,0.0399,0,0,0.0123,0,0.3185,0,0,0,0.1438
1.9703,0.0395,0.4962,0,0,0,0,0.0303,0,0.0321,0,0.6311,0.0486,0,0,0,0.0145,0.326,0,0,0,0.1758
2.0309,0.0235,0.5361,0,0,0,0,0.0529,0,0,0.0025,0.6541,0.0438,0,0,0,0.0236,0.3036,0,0,0,0.2182
2.0916,0.0101,0.5749,0,0,0,0,0.078,0,0,0,0.6743,0.0313,0,0,0,0.0229,0.2644,0,0,0,0.2547
2.1523,0.0044,0.5967,0,0,0,0,0.1015,0,0,0,0.6825,0.0202,0,0,0,0.0127,0.2268,0,0,0,0.271
2.2129,0.0169,0.5883,0,0,0,0,0.1259,0,0,0,0.6787,0.0174,0,0,0,0,0.2061,0,0,0,0.2628
2.2736,0.0561,0.5501,0,0,0,0,0.159,0,0,0,0.6732,0.0234,0,0,0,0,0.2096,0,0,0,0.2369
2.3343,0.1217,0.4987,0,0,0,0,0.2075,0,0,0,0.6797,0.0321,0,0,0,0,0.2356,0,0,0,0.2046
2.3949,0.2037,0.4581,0,0,0,0.0179,0.2705,0,0,0,0.7064,0.0342,0,0,0.0461,0,0.2756,0,0,0,0.1743
2.4556,0.287,0.4444,0,0,0,0,0.337,0,0,0,0.7499,0.0227,0,0,0.1192,0,0.3179,0,0,0,0.1471
2.5162,0.3577,0.4561,0,0,0,0,0.3908,0,0.0097,0,0.7975,0,0,0,0.1961,0,0.3511,0,0,0,0.1195
2.5769,0.4064,0.4784,0,0,0,0,0.419,0,0.0592,0,0.8345,0,0,0,0.2618,0,0.3664,0,0,0,0.0886
2.6376,0.4275,0.4971,0,0,0,0,0.4193,0,0.1071,0,0.8525,0,0,0,0.3115,0,0.3595,0,0,0,0.056
2.6982,0.4184,0.5111,0,0,0,0.0273,0.4,0,0.1384,0,0.8534,0,0,0,0.3488,0.0132,0.3323,0,0,0,0.0266
2.7589,0.3794,0.5308,0,0,0,0.1143,0.3741,0,0.1462,0,0.846,0,0,0,0.3776,0.0212,0.2918,0,0,0,0.0051
2.8196,0.3175,0.5655,0,0,0,0.1944,0.3498,0,0.1333,0,0.8401,0,0,0,0.3967,0.0154,0.2476,0,0,0,0
2.8802,0.2488,0.611,0,0,0,0.2433,0.3261,0,0.1088,0,0.8413,0,0,0,0.4043,0,0.2083,0,0,0,0
2.9409,0.1956,0.6492,0,0,0,0.2555,0.2953,0,0.0809,0,0.8502,0,0,0,0.4036,0,0.1783,0,0,0,0
3.0015,0.1776,0.6607,0,0,0,0.2437,0.2504,0,0.0535,0,0.865,0,0,0,0.4033,0,0.1578,0,0,0,0
3.0622,0.2019,0.6402,0,0,0,0.2289,0.1929,0,0.026,0,0.8843,0,0,0,0.4095,0,0.1455,0,0,0,0
3.1229,0.2572,0.6008,0,0,0,0.2266,0.1338,0,0,0,0.9071,0,0.0094,0,0.4196,0,0.1407,0,0,0,0
3.1835,0.319,0.5643,0,0,0,0.2397,0.0887,0,0,0,0.931,0.0225,0.0398,0,0.4229,0,0.145,0,0,0,0
3.2442,0.3624,0.5452,0,0,0,0.2603,0.0684,0,0,0,0.9498,0.0665,0.0614,0,0.4092,0,0.1593,0,0,0,0
3.3049,0.3743,0.5439,0,0,0,0.2775,0.0739,0,0,0,0.9543,0.0883,0.0766,0,0.3757,0,0.1812,0,0,0,0
3.3655,0.3592,0.5512,0,0,0,0.2852,0.0965,0,0,0,0.9371,0.0848,0.0874,0,0.3291,0,0.2039,0,0,0,0
3.4262,0.3335,0.5598,0,0,0,0.2837,0.1241,0,0,0,0.8966,0.0608,0.0932,0,0.282,0,0.2189,0,0,0,0
3.4868,0.3151,0.5702,0,0,0,0.2762,0.1489,0,0,0,0.8395,0.0263,0.0924,0,0.249,0,0.2221,0,0,0,0
3.5475,0.3135,0.587,0,0,0,0.2637,0.1701,0,0,0,0.7779,0,0.0853,0.0126,0.2418,0,0.2181,0,0,0,0
3.6082,0.3288,0.6119,0,0,0,0.2435,0.1917,0,0,0,0.7235,0,0.075,0.0045,0.2631,0,0.2187,0,0,0,0
3.6688,0.3552,0.6408,0,0,0,0.2132,0.2176,0,0.029,0,0.6828,0,0.0658,0,0.301,0,0.237,0,0,0,0
3.7295,0.3873,0.6682,0,0.0154,0,0.1748,0.2479,0,0.0646,0,0.6559,0,0.0601,0,0.3304,0,0.2783,0,0,0,0
3.7902,0.4203,0.6929,0,0.0482,0,0.1377,0.2784,0,0.1081,0,0.6395,0,0.0552,0,0.3268,0,0.3355,0,0,0,0.0132
3.8508,0.4483,0.7179,0,0.0351,0,0.1143,0.3052,0,0.157,0,0.6314,0,0.0459,0,0.2848,0,0.3919,0,0,0,0.0835
3.9115,0.4614,0.7449,0,0,0,0.1131,0.3277,0,0.2032,0,0.6323,0,0.0285,0,0.2267,0,0.4305,0,0,0,0.1354
3.9721,0.4491,0.7703,0,0,0,0.134,0.3492,0,0.2355,0,0.6447,0,0.0053,0,0.1906,0,0.4439,0,0,0,0.1593
4.0328,0.4079,0.7861,0,0,0,0.1673,0.3738,0,0.2454,0,0.6689,0.0528,0,0,0.2041,0,0.4389,0,0,0,0.152
4.0935,0.3487,0.7868,0,0,0,0.2001,0.4024,0,0.2318,0,0.7008,0.1274,0,0,0.2646,0.0325,0.4325,0,0,0,0.1204
4.1541,0.2958,0.7727,0,0,0,0.2219,0.4306,0,0.2022,0,0.7328,0.2137,0,0,0.3434,0.0755,0.4424,0,0,0,0.0809
4.2148,0.2759,0.7491,0,0,0,0.2286,0.4509,0,0.1689,0,0.7576,0.2934,0,0,0.4091,0.107,0.4767,0,0,0,0.0544
4.2755,0.303,0.7221,0,0,0,0.2209,0.4575,0.0519,0.1431,0,0.7724,0.3469,0.0082,0,0.4526,0.1226,0.5308,0,0,0,0.0573
4.3361,0.3686,0.6981,0,0,0,0.2009,0.4498,0.0971,0.1294,0,0.7805,0.3604,0.0029,0,0.4906,0.124,0.5909,0,0,0,0.0937
4.3968,0.4445,0.6847,0,0,0,0.1708,0.4341,0.1265,0.1254,0,0.7885,0.3331,0,0,0.549,0.1168,0.6418,0,0,0,0.1528
4.4574,0.4975,0.6895,0,0,0,0.1356,0.4196,0.1421,0.1246,0,0.8016,0.2774,0,0,0.6388,0.1066,0.675,0,0,0,0.2149
4.5181,0.5065,0.715,0,0,0,0.1061,0.4145,0.1534,0.122,0,0.8203,0.213,0,0,0.7458,0.0964,0.6907,0,0,0,0.2607
4.5788,0.4715,0.7533,0,0,0,0.0994,0.4222,0.171,0.1177,0,0.8396,0.1586,0,0,0.8403,0.086,0.6956,0,0,0,0.2807
4.6394,0.4105,0.7893,0,0,0,0.131,0.4403,0.1977,0.1157,0,0.8519,0.1239,0,0,0.8967,0.0739,0.6981,0,0,0,0.2774
4.7001,0.3472,0.8123,0,0,0,0.2043,0.4631,0.226,0.1196,0,0.8515,0.1088,0,0,0.9085,0.0594,0.7044,0,0,0,0.2618
4.7608,0.2996,0.825,0,0,0,0.3027,0.4838,0.2427,0.1288,0,0.8377,0.1065,0,0,0.8877,0.0442,0.7175,0,0,0,0.245
4.8214,0.2756,0.8408,0,0,0,0.3923,0.4975,0.2386,0.1377,0,0.8157,0.1097,0,0,0.8531,0.0314,0.7383,0,0,0,0.2325
4.8821,0.2766,0.8695,0,0,0,0.4365,0.5017,0.2166,0.139,0,0.7939,0.1142,0,0,0.818,0.024,0.7664,0,0,0,0.2238
