"","Burn_Severity","Land_Coverage_Category","P_Mean","P_Standard_Deviation","Ca_Mean","Ca_Standard_Deviation","Fe_Mean","Fe_Standard_Deviation","Al_Mean","Al_Standard_Deviation","K_Mean","K_Standard_Deviation","Mg_Mean","Mg_Standard_Deviation","Na_Mean","Na_Standard_Deviation","S_Mean","S_Standard_Deviation","C_Mean","C_Standard_Deviation","N_Mean","N_Standard_Deviation","Count"
"1","Unburned","Douglas-fir forest",1.29356,0.519299220103401,4.88849,1.23178001282697,0.5206,0.303065966416554,0.6441,0.417758686325012,4.566,2.19910208949016,0.9669,0.137956533009495,0.1727,0.0257386868351903,0.7615,0.215384725549422,340.05,11.5258405333407,11.05,2.89913780286484,2
"2","Unburned","Sagebrush shrubland",1.26576,NA,4.07649,NA,1.047,NA,1.005,NA,10.79,NA,1.34245,NA,0.2543,NA,1.008,NA,341.9,NA,8.4,NA,1
"3","Low","Douglas-fir forest",1.83196,0.728961041483014,14.75049,3.01485488871355,0.93174,0.222122641799525,0.95284,0.44365757967153,7.5942,3.14993233260653,1.66345,0.550112715722878,0.296,0.0297757171758017,0.44756,0.197900222334388,180.18,68.6203104044276,4.98,2.06082507748717,5
"4","Low","Sagebrush shrubland",4.90676,1.34208867069207,18.59549,6.88014898094511,3.548,1.41138513524835,3.36575,1.55386715165744,40.84,10.776307345283,4.49795,1.6977633816289,0.68605,0.360129483658309,2.37425,1.05535687092092,200.8,18.1019335983756,9.35,0.777817459305201,2
"5","Moderate","Douglas-fir forest",2.33042666666667,0.714778520475632,20.6471566666667,5.9761302975532,1.25196666666667,0.873442455650819,1.3793,0.747580142860951,9.73366666666667,2.66446811452743,2.23511666666667,0.755455050504882,0.362566666666667,0.143718486400787,0.503666666666667,0.26103571275466,161.133333333333,100.150203860668,5.46666666666667,1.85831464863551,3
"6","Moderate","Sagebrush shrubland",14.44576,3.47896536343781,52.47049,12.09152595829,11.01,0.0282842712474613,10.3905,1.20137442123594,118.51,28.5529718243128,13.36745,1.87383297014435,2.0995,0.321733585439879,5.665,0.876812408671319,154.95,29.6277741317163,5.3,0.989949493661167,2
"7","High","Douglas-fir forest",6.196135,1.94447788086331,51.60174,16.5908641401425,3.372625,1.29157083784308,3.591625,1.42289771095231,24.9125,8.00325090197727,5.749075,1.83544823658055,0.835475,0.309258569000117,1.1384875,0.409096077498917,129.3,46.0582963934476,5.125,2.82886903196313,4
