Feedstock_Species,Species_Name,Vegetation_Condition,Date_Collected,Latitude,Longitude,Collection_Time_PST,Weather,Comments
big sagebrush,Artemisia tridentata,mix of living and dead plant material, 2021-03-01,46.408693,-119.277513,15:26,sunny; 15.5 degC; dry,Selected branches with leaves present. 
douglas-fir,Pseudotsuga menziesii,living material, 2021-02-20,44.6507,-123.2199,9:00,mix of sun and clouds; 7 degC,Twigs; branches; leaves collected from mature Douglas-fir stand with understory oak. 
douglas-fir,Pseudotsuga menziesii,mix of living and dead plant material, 2021-02-20,44.6507,-123.2199,9:00,mix of sun and clouds; 7 degC,Twigs; branches; leaves collected from mature Douglas-fir stand with understory oak. 
ponderosa pine,Pinus ponderosa,living material, 2021-03-27,47.678046,-117.522806,15:00,partly cloudy; 14 degC; light breeze,Branches; twigs and needles were collected. Living material came from tree that was downed by 70mph winds on 13 Jan 2021. Although uprooted; fallen and will eventually die; the tree is still completely green and wood is living at time of collection.
ponderosa pine,Pinus ponderosa,mix of living and dead plant material, 2021-03-27,47.678046,-117.522806,15:00,partly cloudy; 14 degC; light breeze,Branches; twigs; needles and pine cones. 
ponderosa pine,Pinus ponderosa,living material, 2021-05-30,47.678046,-117.522806,17:30,26 degC; slightly cloudy,Small branches; twigs; pine needles; and bark collected. 
ponderosa pine,Pinus ponderosa,mix of living and dead plant material, 2021-05-30,47.678046,-117.522806,17:30,26 degC; slightly cloudy,Small branches; pine needles; bark; and pine cones.
douglas-fir,Pseudotsuga menziesii,living material, 2021-05-16,44.6491,-123.2197,9:20,sunny; 21 degC; very dry,Douglas-fir dominated forest with minor oak understory. 
douglas-fir,Pseudotsuga menziesii,mix of living and dead plant material, 2021-05-16,44.6491,-123.2197,9:20,sunny; 21 degC; very dry,Douglas-fir dominated forest with minor oak understory. 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
