Burn_Code,Parent_ID,Sample_Name,Feedstock_Species,Land_Coverage_Category,Feedstock_Status,Moisture,Burn_Treatment,Burn_Date,Burn_Start_Time_PST,Flame_Start_Time_PST,300_degC_Grab_Time_PST,600_degC_Grab_Time_PST,Flame_End_Time_PST,Burn_End_Time_PST,Max_Burn_Temp,Dry_Fuel_Before_Burn_Weight,Approx_Char_After_Burn_Weight,Burn_Notes,Char_Type,Burn_Severity,Burn_Duration,Char_Max_Temp,Leach_Date,Char_Leached,Leachate_Volume
Burn01a,BSLE_0001,BSLE_0001A,douglas-fir,Douglas-fir forest,living,Air dried,burn table, 2021-06-08,10:08:32,10:13:06,10:16:32,10:19:16,10:30:42,10:33:42,589,2486.4,749.3,N/A,endchar,Low,1056,589,10/26/2021,25.1,1000
Burn01a,BSLE_0001,BSLE_0001B,douglas-fir,Douglas-fir forest,living,Air dried,burn table, 2021-06-08,10:08:32,10:13:06,10:16:32,10:19:16,10:30:42,10:33:42,589,2486.4,749.3,N/A,endchar,Low,1056,589,10/27/2021,25.1,1000
Burn01a,BSLE_0001,BSLE_0001C,douglas-fir,Douglas-fir forest,living,Air dried,burn table, 2021-06-08,10:08:32,10:13:06,10:16:32,10:19:16,10:30:42,10:33:42,589,2486.4,749.3,N/A,endchar,Low,1056,589,10/28/2021,25,1000
Burn01a,BSLE_0051,BSLE_0051A,douglas-fir,Douglas-fir forest,living,Air dried,burn table, 2021-06-08,10:08:32,10:13:06,10:16:32,10:19:16,10:30:42,10:33:42,589,2486.4,749.3,N/A,300C,Low,206,407.5,11/4/2021,16.6,640
Burn01a,BSLE_0051,BSLE_0051B,douglas-fir,Douglas-fir forest,living,Air dried,burn table, 2021-06-08,10:08:32,10:13:06,10:16:32,10:19:16,10:30:42,10:33:42,589,2486.4,749.3,N/A,300C,Low,206,407.5,11/4/2021,16.3,640
Burn01a,BSLE_0051,BSLE_0051C,douglas-fir,Douglas-fir forest,living,Air dried,burn table, 2021-06-08,10:08:32,10:13:06,10:16:32,10:19:16,10:30:42,10:33:42,589,2486.4,749.3,N/A,300C,Low,206,407.5,11/4/2021,16.8,540
Burn01a,BSLE_0052,BSLE_0052A,douglas-fir,Douglas-fir forest,living,Air dried,burn table, 2021-06-08,10:08:32,10:13:06,10:16:32,10:19:16,10:30:42,10:33:42,589,2486.4,749.3,N/A,600C,Moderate,370,589,4/11/2022,13,520
Burn01a,BSLE_0052,BSLE_0052B,douglas-fir,Douglas-fir forest,living,Air dried,burn table, 2021-06-08,10:08:32,10:13:06,10:16:32,10:19:16,10:30:42,10:33:42,589,2486.4,749.3,N/A,600C,Moderate,370,589,4/11/2022,13.1,520
Burn01a,BSLE_0052,BSLE_0052C,douglas-fir,Douglas-fir forest,living,Air dried,burn table, 2021-06-08,10:08:32,10:13:06,10:16:32,10:19:16,10:30:42,10:33:42,589,2486.4,749.3,N/A,600C,Moderate,370,589,4/11/2022,13.1,520
Burn01a,BSLE_0073,BSLE_0073A,douglas-fir,Douglas-fir forest,living,Air dried,burn table, 2021-06-08,10:08:32,10:13:06,10:16:32,10:19:16,10:30:42,10:33:42,589,2486.4,749.3,N/A,completecombustion,High,1056,589,5/12/2022,1.0021,40
